Player,Pos,Age,Tm,G,MP,FGA,3P,3PA,2PA,FTA,TRB,AST,STL,BLK,PTS,FV
Landry Shamet,SG,22,LAC,53,1452,391,111,296,95,76,100,99,20,10,492,309.4750000000001
Pascal Siakam,PF,25,TOR,60,2110,1104,131,365,739,303,439,207,61,53,1371,586.0500000000001
Chris Silva,PF,23,MIA,44,346,78,0,3,75,55,126,23,9,21,133,86.75
Ben Simmons,PG,23,PHI,57,2017,647,2,7,640,298,444,455,119,33,937,505.84999999999997
Anfernee Simons,SG,20,POR,70,1449,536,75,226,310,92,152,97,26,10,579,326.475
Marcus Smart,SG,25,BOS,60,1919,682,137,395,287,152,225,291,101,29,776,464.7250000000001
Ish Smith,PG,31,WAS,68,1787,689,62,169,520,86,219,334,59,30,740,423.4749999999999
Tony Snell,SF,28,DET,59,1641,382,102,254,128,32,111,127,32,15,474,331.99999999999994
Omari Spellman,PF,22,GSW,49,886,295,43,110,185,92,219,47,33,24,370,215.32500000000002
Jayson Tatum,PF,21,BOS,66,2265,1226,189,469,757,313,460,200,93,57,1547,646.375
Jeff Teague,PG,31,TOT,59,1464,489,43,117,372,197,142,308,44,19,641,350.22499999999997
Garrett Temple,SG,33,BRK,62,1730,587,127,386,201,87,218,156,49,29,641,399
Daniel Theis,C,27,BOS,65,1566,426,32,96,330,114,426,111,37,84,601,364.77500000000003
Matt Thomas,SG,25,TOR,41,440,150,47,99,51,12,61,22,10,1,202,107.475
Tristan Thompson,C,28,CLE,57,1721,562,9,23,539,161,577,120,33,50,684,406.84999999999997
Matisse Thybulle,SG,22,PHI,65,1287,265,56,157,108,41,107,79,94,47,305,260.95
Anthony Tolliver,PF,34,TOT,55,872,182,49,145,37,29,154,42,19,11,200,181.17499999999998
Gary Trent Jr.,SG,21,POR,61,1332,441,112,268,173,45,100,61,48,16,541,299.625
P.J. Tucker,PF,34,HOU,72,2467,426,107,299,127,48,476,115,77,36,500,487.125
Myles Turner,C,23,IND,62,1826,587,86,250,337,169,407,72,46,132,749,435.50000000000006
Jonas Valančiūnas,C,27,MEM,70,1845,739,32,91,648,200,788,131,30,76,1044,500.9750000000001
Fred VanVleet,PG,25,TOR,54,1928,773,146,374,399,198,203,357,100,17,952,492.49999999999994
Nikola Vučević,C,29,ORL,62,1998,1033,98,289,744,167,673,222,54,47,1215,562.8499999999999
Moritz Wagner,C,22,WAS,45,835,266,25,80,186,95,219,56,28,19,393,206.05
Kemba Walker,PG,29,BOS,56,1742,889,180,473,416,242,217,268,48,28,1145,493.55
Lonnie Walker,SG,21,SAS,61,988,357,41,101,256,61,139,68,32,14,389,225.37500000000003
Brad Wanamaker,PG,30,BOS,71,1369,362,37,102,260,136,144,179,61,14,487,302.2
T.J. Warren,SF,26,IND,67,2202,997,91,226,771,204,280,99,78,34,1326,545.7750000000001
P.J. Washington,PF,21,CHO,58,1759,589,86,230,359,136,316,123,51,44,710,407.87500000000006
Russell Westbrook,PG,31,HOU,57,2049,1281,55,213,1068,380,451,401,93,20,1553,614.25
Coby White,SG,19,CHI,65,1674,792,133,376,416,129,230,175,49,6,859,427.42500000000007
Derrick White,SG,25,SAS,68,1677,552,79,216,336,211,223,241,44,59,765,408.17499999999995
Hassan Whiteside,C,30,POR,67,2008,702,4,7,695,239,905,78,26,196,1040,531.6750000000001
Andrew Wiggins,SF-SG,24,TOT,54,1858,978,111,334,644,268,274,198,45,53,1175,503.59999999999997
Andrew Wiggins,SF,24,MIN,42,1455,790,91,275,515,207,219,155,29,36,942,397.925
Grant Williams,PF,21,BOS,69,1043,211,24,96,115,54,178,68,30,36,237,214.35000000000005
Lou Williams,SG,33,LAC,65,1864,936,111,315,621,339,201,365,43,12,1185,512.325
Marvin Williams,PF,33,TOT,58,1129,267,56,156,111,57,183,60,36,30,343,243.175
Marvin Williams,PF,33,CHO,41,808,210,44,117,93,50,109,41,26,22,275,176.67499999999998
Christian Wood,PF,24,DET,62,1325,508,54,140,368,242,390,60,34,54,810,358.075
Delon Wright,SG,27,DAL,73,1570,411,47,127,284,100,280,244,85,22,504,355.47499999999997
Thaddeus Young,PF,31,CHI,64,1591,601,79,222,379,72,315,117,92,23,659,380.125
Trae Young,PG,21,ATL,60,2120,1249,205,568,681,559,255,560,65,8,1778,678.4000000000001
Cody Zeller,C,27,CHO,58,1341,479,18,75,404,179,411,88,40,25,642,333.925
Ivica Zubac,C,22,LAC,72,1326,385,0,2,383,166,543,82,16,66,596,332.7000000000001
