Player,Pos,Age,Tm,G,MP,FGA,3P,3PA,2PA,FTA,TRB,AST,STL,BLK,PTS,FV
Treveon Graham,SG,26,TOT,55,929,242,33,120,122,56,150,45,24,6,243,194.00000000000003
Jerami Grant,PF,25,DEN,71,1892,634,98,252,382,196,248,88,50,57,851,438.67500000000007
Danny Green,SG,32,LAL,68,1687,474,120,327,147,48,225,91,85,32,547,371.825
Draymond Green,PF,29,GSW,43,1222,316,36,129,187,83,266,266,59,33,345,285.025
JaMychal Green,PF,29,LAC,63,1307,352,92,238,114,48,388,49,29,24,430,304.34999999999997
Javonte Green,SF,26,BOS,48,468,126,9,33,93,42,93,26,24,8,163,106.85
Jeff Green,PF-C,33,TOT,48,960,344,62,183,161,91,133,50,26,19,453,231.20000000000002
Marko Guduric,SG,24,MEM,44,484,157,25,83,74,26,73,45,12,8,173,112.89999999999999
Rui Hachimura,PF,21,WAS,48,1444,545,25,87,458,140,294,87,37,8,649,335.1
Tim Hardaway Jr.,SG,27,DAL,71,2091,884,204,513,371,182,232,137,41,5,1121,523.2
James Harden,SG,30,HOU,68,2483,1514,299,843,671,800,446,512,125,60,2335,854.4250000000001
Maurice Harkless,SF,26,TOT,62,1427,283,34,98,185,66,240,68,58,33,357,287.475
Maurice Harkless,SF,26,LAC,50,1141,217,27,73,144,42,200,48,49,30,275,228.375
Montrezl Harrell,C,26,LAC,63,1749,812,0,18,794,351,445,107,39,72,1173,469.15
Gary Harris,SG,25,DEN,56,1780,519,70,210,309,92,163,118,76,14,581,372.75000000000006
Joe Harris,SF,28,BRK,69,2123,784,172,406,378,89,298,144,41,17,998,504.95
Tobias Harris,PF,27,PHI,72,2469,1173,131,357,816,216,495,227,53,40,1411,640.625
Shaquille Harrison,SF,26,CHI,43,484,165,16,42,123,50,86,49,34,19,209,120.025
Josh Hart,SF,24,NOP,65,1755,532,121,354,178,115,425,108,63,23,656,417.1500000000001
Jaxson Hayes,C,19,NOP,64,1080,259,1,4,255,190,259,56,26,55,472,252.54999999999998
Gordon Hayward,SF,29,BOS,52,1740,700,85,222,478,145,348,212,38,22,909,438.75
Juan Hernangómez,PF,24,TOT,48,833,247,44,129,118,71,197,40,19,9,288,192.17500000000004
Tyler Herro,SG,20,MIA,55,1508,631,116,298,333,100,224,121,34,9,743,371.52500000000003
Mario Hezonja,PF,24,POR,53,871,218,24,78,140,59,184,50,36,9,256,189.15
Buddy Hield,SG,27,SAC,72,2216,1162,271,688,474,136,328,213,66,17,1382,613
