Player,Pos,Age,Tm,G2018,MP,FGA,3P,3PA,FTA,TRB,STL,BLK,PTS,puntASTFV
Justin Jackson,SF,23,TOT,81,1614,485,87,245,79,212,32,14,583,192.9
Reggie Jackson,PG,28,DET,82,2289,1047,174,471,236,216,55,9,1260,372.22
LeBron James,SF,34,LAL,55,1937,1095,111,327,418,465,72,33,1505,432.3
Jonas Jerebko,PF,31,GSW,73,1218,355,69,188,80,288,27,18,459,166.7
Amir Johnson,C,31,PHI,51,529,157,12,40,41,147,16,13,201,73.2
James Johnson,PF,31,MIA,55,1164,379,50,149,70,176,35,27,428,146.2
Stanley Johnson,SF,22,TOT,66,1208,440,62,215,64,217,60,14,454,169.15
Tyler Johnson,PG,26,TOT,57,1529,526,90,260,127,173,54,27,619,203.1
Nikola Jokić,C,23,DEN,80,2504,1206,83,270,352,865,108,55,1604,503.83
Derrick Jones Jr.,SF,21,MIA,60,1153,324,28,91,122,240,46,42,422,147.08
Tyus Jones,PG,22,MIN,68,1560,446,40,126,69,134,81,5,468,153.6
DeAndre Jordan,C,30,TOT,69,2047,446,0,0,264,902,42,73,758,284.85
Cory Joseph,PG,27,IND,82,2063,548,55,171,43,279,94,22,537,199.3
Enes Kanter,C,26,TOT,67,1640,683,10,34,197,659,32,26,915,290.98
Luke Kennard,SG,22,DET,63,1437,520,106,269,61,183,26,10,613,197.2
Michael Kidd-Gilchrist,PF,25,CHO,64,1179,332,16,47,123,246,32,39,427,142.68
Maxi Kleber,PF,27,DAL,71,1502,386,77,218,74,329,36,78,485,189.6
Kevin Knox,PF,19,NYK,75,2158,914,125,364,226,335,43,24,963,321.88
Kyle Korver,SG-PF,37,TOT,70,1334,483,138,348,73,162,25,12,600,200.43
Rodions Kurucs,SF,20,BRK,63,1294,449,58,184,92,246,41,25,534,181.02
Kyle Kuzma,PF,23,LAL,70,2314,1087,128,422,250,382,41,26,1308,393.72
Jeremy Lamb,SG,26,CHO,79,2250,979,115,330,260,434,88,32,1208,376.2
Zach LaVine,SG,23,CHI,63,2171,1135,120,321,375,294,60,26,1492,410.05
Jake Layman,SF,24,POR,71,1327,424,59,181,71,217,31,30,541,174.6
T.J. Leaf,PF,21,IND,58,522,183,8,31,31,125,9,19,225,74.77
Alex Len,C,25,ATL,77,1544,648,74,204,216,424,27,69,854,277.68
Kawhi Leonard,SF,27,TOR,60,2040,1129,112,302,426,439,106,24,1596,445.98
Meyers Leonard,C,26,POR,61,878,242,50,111,51,233,13,9,357,122.4
Damian Lillard,PG,28,POR,80,2838,1533,237,643,513,371,88,34,2067,582.8
Jeremy Lin,PG,30,TOT,74,1436,541,55,187,210,179,47,13,707,209.3
Shaun Livingston,PG,33,GSW,64,967,210,0,2,51,117,31,27,258,82.62
Kevon Looney,C,22,GSW,80,1481,347,1,10,105,417,46,53,500,173.82
Brook Lopez,C,30,MIL,81,2322,786,187,512,133,396,51,179,1009,357.48
Robin Lopez,C,30,CHI,74,1606,535,7,31,123,286,11,78,704,203.28
Kyle Lowry,PG,32,TOR,65,2213,739,157,453,194,312,91,31,926,312.08
Trey Lyles,PF,23,DEN,64,1120,495,51,200,116,246,30,23,546,187.1
Shelvin Mack,PG,28,TOT,57,1246,403,46,130,84,104,47,4,430,137.4
Thon Maker,C-PF,21,TOT,64,972,268,49,153,84,202,21,51,323,128.02
Boban Marjanović,C,30,TOT,58,681,260,4,10,131,265,16,27,422,129.4
Lauri Markkanen,PF,21,CHI,52,1682,795,120,332,195,470,37,33,974,322.3
Wesley Matthews,SF-SG,32,TOT,69,2091,698,150,403,163,170,54,17,840,267.22
CJ McCollum,SG,27,POR,70,2375,1243,167,445,192,282,55,28,1468,422.53
T.J. McConnell,PG,26,PHI,76,1470,419,14,42,37,174,79,17,483,148.48
Doug McDermott,SF,27,IND,77,1340,422,84,206,79,109,18,8,564,165.25
JaVale McGee,C,31,LAL,75,1671,641,1,12,152,566,47,148,897,285.6
Rodney McGruder,SG,27,MIA,66,1550,461,79,225,72,238,36,12,503,180.02
Alfonzo McKinnie,SF,26,GSW,72,1003,275,42,118,48,247,18,15,337,126.53
Khris Middleton,SF,27,MIL,77,2393,1148,179,474,258,461,80,7,1407,435.78
C.J. Miles,SF,31,TOT,53,856,311,67,203,58,95,26,15,339,120.95
Darius Miller,SF,28,NOP,69,1757,484,133,364,71,128,40,23,567,195.8
Patty Mills,PG,30,SAS,82,1908,663,159,404,103,182,49,10,811,259.28
Paul Millsap,PF,33,DEN,70,1895,665,58,159,249,505,83,54,883,294
Donovan Mitchell,SG,22,UTA,77,2598,1530,188,519,396,316,106,31,1829,526.25
Malik Monk,SG,20,CHO,73,1258,586,109,330,102,137,37,19,653,213.3
E'Twaun Moore,SG,29,NOP,53,1463,532,76,176,59,127,40,8,633,183.82
Marcus Morris,PF,29,BOS,75,2091,844,146,389,173,458,43,25,1046,342.6
Markieff Morris,PF,29,TOT,58,1270,484,68,203,92,265,36,22,547,189.82
Monte Morris,PG,23,DEN,82,1970,702,94,227,81,194,73,4,851,249.43
Emmanuel Mudiay,PG,22,NYK,59,1607,740,69,210,186,196,43,19,873,253.48
Jamal Murray,PG,21,DEN,75,2447,1173,152,414,223,317,67,27,1367,406.38
Mike Muscala,PF,27,TOT,64,1306,361,89,256,85,244,22,38,449,169.6
Abdel Nader,SF,25,OKC,61,694,215,32,100,36,116,20,12,241,88
Larry Nance Jr.,C,26,CLE,67,1795,479,33,98,134,552,100,40,627,235.98
Shabazz Napier,PG,27,BRK,56,983,435,76,228,138,100,41,16,529,166.95
Georges Niang,PF,25,UTA,59,516,181,43,105,24,87,10,6,235,79.23
Nerlens Noel,C,24,OKC,77,1055,276,0,0,79,325,66,96,378,145.45
Dirk Nowitzki,PF,40,DAL,51,795,376,64,205,50,158,9,18,373,137.05
Jusuf Nurkić,C,24,POR,72,1974,826,3,29,365,748,71,103,1125,364.68
David Nwaba,SG,26,CLE,51,984,262,24,75,85,163,36,17,334,111.65
Royce O'Neale,SF,25,UTA,82,1671,343,68,176,42,285,54,24,426,162.88
Semi Ojeleye,PF,24,BOS,56,594,158,28,89,39,86,10,4,186,67.88
Jahlil Okafor,C,23,NOP,59,935,362,1,5,89,278,15,40,484,147.7
Elie Okobo,PG,21,PHO,53,958,290,39,132,47,98,32,7,304,105.22
Josh Okogie,SG,20,MIN,74,1757,508,60,215,162,218,88,33,570,201.7
Kelly Olynyk,PF,27,MIA,79,1812,564,113,319,185,375,53,37,787,266.12
Cedi Osman,SF,23,CLE,76,2444,844,130,374,181,357,60,11,991,320.83
Kelly Oubre Jr.,SF,23,TOT,69,1935,842,108,338,244,325,84,59,1047,329.8
Zaza Pachulia,C,34,DET,68,878,193,0,4,124,265,31,17,267,103.4
Jabari Parker,PF,23,TOT,64,1724,749,61,195,184,421,46,30,930,289.52
Tony Parker,PG,36,CHO,56,1003,463,13,51,124,83,21,7,530,142.27
Patrick Patterson,PF,29,OKC,63,861,219,46,137,30,147,16,13,229,94.78
Chris Paul,PG,33,HOU,58,1857,720,127,355,203,265,114,18,906,291.88
Mason Plumlee,C,28,DEN,82,1731,442,2,10,198,524,66,76,637,224.12
Jakob Poeltl,C,23,SAS,77,1273,290,0,0,92,410,29,68,423,155.62
Quincy Pondexter,SF,30,SAS,53,292,58,6,18,42,46,11,1,98,33.48
Otto Porter,SF,25,TOT,56,1683,643,104,256,96,314,82,31,780,256.38
Dwight Powell,C,27,DAL,77,1662,486,39,127,254,411,44,50,815,246.48
Norman Powell,SG,25,TOR,60,1126,400,68,170,75,139,39,13,516,157.88
Julius Randle,PF,24,NOP,73,2232,1089,67,195,487,634,52,45,1565,448.72
J.J. Redick,SG,34,PHI,76,2379,1027,240,605,255,186,32,17,1372,397.4
Josh Richardson,SG,25,MIA,73,2539,1026,164,460,231,263,79,34,1209,372.75
Austin Rivers,SG,26,TOT,76,2028,572,104,327,95,162,47,23,618,211.43
Mitchell Robinson,C,20,NYK,66,1360,291,0,0,135,423,52,161,485,180.93
Derrick Rose,PG,30,MIN,51,1392,753,54,146,160,140,31,12,917,242.32
Terrence Ross,SG,27,ORL,81,2150,1027,217,566,144,280,72,29,1223,386.05
Terry Rozier,PG,24,BOS,79,1791,666,119,337,93,307,68,21,708,255.33
Ricky Rubio,PG,28,UTA,68,1899,730,79,254,228,243,91,10,864,269.42
D'Angelo Russell,PG,22,BRK,81,2448,1517,234,635,205,315,100,20,1712,513.28
Domantas Sabonis,C,22,IND,74,1838,700,9,17,291,690,48,30,1043,318.88
Dario Šarić,PF,24,TOT,81,2023,696,118,323,150,457,45,9,858,293.28
Tomáš Satoranský,PG,27,WAS,80,2164,530,64,162,160,279,82,13,709,222.52
Dennis Schröder,PG,25,OKC,79,2314,1104,124,364,227,284,65,12,1224,368.6
Mike Scott,PF,30,TOT,79,1395,420,101,252,33,276,26,13,459,177.85
Wayne Selden,SG,24,TOT,75,1439,483,55,174,92,180,33,13,514,170.95
Collin Sexton,PG,20,CLE,82,2605,1206,119,296,255,236,44,6,1371,383.7
Landry Shamet,SG,21,TOT,79,1802,557,167,396,93,134,37,10,722,229.72
Iman Shumpert,SG,28,TOT,62,1481,446,95,273,45,183,59,24,465,175.22
Pascal Siakam,PF,24,TOR,80,2548,945,79,214,302,549,73,52,1354,395.03
Ben Simmons,PG,22,PHI,79,2700,960,0,6,428,697,112,61,1337,399.65
Jonathon Simmons,SG-SF,29,TOT,56,1064,350,28,104,97,126,29,15,366,122.35
Marcus Smart,SG,24,BOS,80,2200,567,126,346,129,234,143,28,708,249.98
Dennis Smith Jr.,PG,21,TOT,53,1508,650,67,208,156,155,67,20,722,221.25
Ish Smith,PG,30,DET,56,1251,489,44,135,62,145,28,11,501,157.45
Tony Snell,SF,27,MIL,74,1304,361,81,204,42,157,26,18,444,149.8
Nik Stauskas,SG,25,TOT,68,1015,338,70,188,64,127,21,7,399,134.2
Lance Stephenson,SG,28,LAL,68,1123,432,73,197,73,215,41,7,491,170.1
Jayson Tatum,SF,20,BOS,79,2455,1036,116,311,228,477,84,57,1243,391.38
Garrett Temple,SG,32,TOT,75,2040,493,90,264,107,216,76,30,586,204.83
Daniel Theis,C,26,BOS,66,908,266,26,67,76,225,21,42,374,126.38
Klay Thompson,SG,28,GSW,78,2652,1402,241,599,158,299,84,47,1680,492.75
Sindarius Thornwell,SG,24,LAC,64,313,49,3,15,34,44,14,7,62,28.77
Anthony Tolliver,PF,33,MIN,65,1079,259,81,215,60,177,17,21,326,127.65
Karl-Anthony Towns,C,23,MIN,77,2545,1314,142,355,450,954,67,125,1880,582.3
Allonzo Trier,SG,23,NYK,64,1459,518,52,132,223,197,28,14,695,200.9
P.J. Tucker,PF,33,HOU,82,2802,523,146,387,59,479,132,39,601,265.05
Evan Turner,PG,30,POR,73,1605,443,11,52,106,328,33,18,494,169.48
Myles Turner,C,22,IND,74,2119,780,76,196,201,531,60,199,984,339.55
Ekpe Udoh,C,31,UTA,51,320,72,0,0,30,90,10,31,119,43.77
Fred VanVleet,PG,24,TOR,64,1760,600,112,296,115,167,57,20,701,224.88
Noah Vonleh,PF,23,NYK,68,1722,440,46,137,156,528,46,51,571,222.43
Nikola Vučević,C,28,ORL,80,2510,1354,84,231,227,960,81,89,1665,529.95
Dwyane Wade,SG,37,MIA,72,1885,960,86,261,233,285,59,38,1083,326.5
Kemba Walker,PG,28,CHO,82,2863,1684,260,731,450,361,102,34,2102,609.25
Tyrone Wallace,PG,24,LAC,62,628,217,4,19,57,101,21,7,218,74.5
Taurean Prince,SF,24,ATL,55,1552,594,123,315,116,199,53,19,742,234.95
Russell Westbrook,PG,30,OKC,73,2630,1473,119,411,451,807,142,33,1675,553.15
Derrick White,PG,24,SAS,67,1728,543,48,142,123,247,67,47,663,210.13
Hassan Whiteside,C,29,MIA,72,1674,680,2,16,243,817,46,136,887,322.75
Andrew Wiggins,SF,23,MIN,73,2543,1209,118,348,296,352,70,48,1321,405.9
Lou Williams,SG,32,LAC,75,1993,1138,105,291,485,222,57,11,1498,402.12
Marvin Williams,PF,32,CHO,75,2133,652,140,382,86,407,71,61,756,283.15
Justise Winslow,SF,22,MIA,66,1959,749,96,256,137,355,72,19,830,277.4
Delon Wright,PG,26,TOT,75,1699,558,50,168,150,266,88,30,653,217.4
Thaddeus Young,PF,30,IND,81,2489,841,51,146,135,523,123,36,1024,327.5
Trae Young,PG,20,ATL,81,2503,1256,156,482,414,301,72,15,1549,450.15
Ante Žižić,C,22,CLE,59,1082,331,0,0,132,320,13,22,459,145.88
Ivica Zubac,C,21,TOT,59,1040,379,0,0,126,362,14,51,525,167.62
