Player,Pos,Age,Tm,G2018,MP,zAge,zGPlayed,zMP,zFGA,z3PA,zFTA,zTRB,zSTL,zBLK,zPTS,puntASTFV
Amir Johnson,C,31,PHI,51,529,1.22,0.07,-0.71,-0.68,-0.68,-0.54,-0.31,-0.6,-0.34,-0.64,73.2
James Johnson,PF,31,MIA,55,1164,1.22,0.22,0.05,-0.09,0,-0.3,-0.17,-0.01,0.14,-0.18,146.2
Stanley Johnson,SF,22,TOT,66,1208,-0.93,0.64,0.1,0.07,0.42,-0.35,0.04,0.76,-0.31,-0.13,169.15
Tyler Johnson,PG,26,TOT,57,1529,0.02,0.3,0.49,0.3,0.7,0.16,-0.18,0.58,0.14,0.21,203.1
Nikola Jokić,C,23,DEN,80,2504,-0.69,1.18,1.65,2.1,0.76,2,3.3,2.26,1.1,2.22,503.83
Derrick Jones Jr.,SF,21,MIA,60,1153,-1.17,0.41,0.04,-0.24,-0.36,0.12,0.15,0.33,0.66,-0.19,147.08
Tyus Jones,PG,22,MIN,68,1560,-0.93,0.72,0.52,0.08,-0.14,-0.31,-0.38,1.42,-0.62,-0.1,153.6
DeAndre Jordan,C,30,TOT,69,2047,0.98,0.76,1.1,0.08,-0.93,1.28,3.48,0.2,1.72,0.49,284.85
Cory Joseph,PG,27,IND,82,2063,0.26,1.26,1.12,0.36,0.14,-0.52,0.35,1.82,-0.03,0.04,199.3
Enes Kanter,C,26,TOT,67,1640,0.02,0.68,0.62,0.71,-0.72,0.73,2.26,-0.11,0.1,0.81,290.98
Luke Kennard,SG,22,DET,63,1437,-0.93,0.53,0.38,0.28,0.75,-0.38,-0.13,-0.29,-0.45,0.2,197.2
Michael Kidd-Gilchrist,PF,25,CHO,64,1179,-0.21,0.57,0.07,-0.22,-0.64,0.13,0.18,-0.11,0.55,-0.18,142.68
Maxi Kleber,PF,27,DAL,71,1502,0.26,0.84,0.45,-0.07,0.44,-0.27,0.6,0.02,1.9,-0.06,189.6
Kevin Knox,PF,19,NYK,75,2158,-1.65,0.99,1.24,1.33,1.35,0.97,0.63,0.24,0.03,0.91,321.88
Kyle Korver,SG-PF,37,TOT,70,1334,2.65,0.8,0.25,0.18,1.25,-0.28,-0.24,-0.32,-0.38,0.17,200.43
Rodions Kurucs,SF,20,BRK,63,1294,-1.41,0.53,0.21,0.09,0.22,-0.12,0.18,0.17,0.07,0.04,181.02
Kyle Kuzma,PF,23,LAL,70,2314,-0.69,0.8,1.42,1.79,1.71,1.16,0.87,0.17,0.1,1.61,393.72
Jeremy Lamb,SG,26,CHO,79,2250,0.02,1.14,1.35,1.5,1.14,1.25,1.13,1.63,0.31,1.41,376.2
Zach LaVine,SG,23,CHI,63,2171,-0.69,0.53,1.25,1.91,1.08,2.18,0.42,0.76,0.1,1.99,410.05
Jake Layman,SF,24,POR,71,1327,-0.45,0.84,0.24,0.03,0.2,-0.29,0.04,-0.14,0.24,0.05,174.6
T.J. Leaf,PF,21,IND,58,522,-1.17,0.34,-0.71,-0.61,-0.74,-0.62,-0.43,-0.82,-0.14,-0.59,74.77
Alex Len,C,25,ATL,77,1544,-0.21,1.07,0.5,0.62,0.35,0.89,1.08,-0.26,1.59,0.69,277.68
Kawhi Leonard,SF,27,TOR,60,2040,0.26,0.41,1.1,1.9,0.96,2.6,1.15,2.19,0.03,2.2,445.98
Meyers Leonard,C,26,POR,61,878,0.02,0.45,-0.29,-0.46,-0.24,-0.46,0.12,-0.7,-0.48,-0.32,122.4
Damian Lillard,PG,28,POR,80,2838,0.5,1.18,2.05,2.97,3.1,3.31,0.81,1.63,0.38,3.16,582.8
Jeremy Lin,PG,30,TOT,74,1436,0.98,0.95,0.37,0.34,0.24,0.84,-0.15,0.36,-0.34,0.39,209.3
Shaun Livingston,PG,33,GSW,64,967,1.7,0.57,-0.18,-0.54,-0.92,-0.46,-0.47,-0.14,0.14,-0.53,82.62
Kevon Looney,C,22,GSW,80,1481,-0.93,1.18,0.43,-0.18,-0.87,-0.02,1.04,0.33,1.04,-0.03,173.82
Brook Lopez,C,30,MIL,81,2322,0.98,1.22,1.43,0.99,2.28,0.21,0.94,0.48,5.38,1,357.48
Robin Lopez,C,30,CHI,74,1606,0.98,0.95,0.58,0.32,-0.74,0.13,0.38,-0.76,1.9,0.38,203.28
Kyle Lowry,PG,32,TOR,65,2213,1.46,0.6,1.3,0.86,1.91,0.71,0.51,1.73,0.28,0.84,312.08
Trey Lyles,PF,23,DEN,64,1120,-0.69,0.57,-0,0.21,0.32,0.07,0.18,-0.17,0,0.06,187.1
Shelvin Mack,PG,28,TOT,57,1246,0.5,0.3,0.15,-0.03,-0.12,-0.19,-0.53,0.36,-0.66,-0.18,137.4
Thon Maker,C-PF,21,TOT,64,972,-1.17,0.57,-0.18,-0.39,0.03,-0.19,-0.04,-0.45,0.97,-0.39,128.02
Boban Marjanović,C,30,TOT,58,681,0.98,0.34,-0.53,-0.41,-0.87,0.19,0.28,-0.6,0.14,-0.19,129.4
Lauri Markkanen,PF,21,CHI,52,1682,-1.17,0.11,0.67,1.01,1.15,0.72,1.31,0.05,0.35,0.93,322.3
Wesley Matthews,SF-SG,32,TOT,69,2091,1.46,0.76,1.16,0.75,1.59,0.46,-0.2,0.58,-0.21,0.66,267.22
CJ McCollum,SG,27,POR,70,2375,0.26,0.8,1.49,2.2,1.86,0.69,0.36,0.61,0.17,1.94,422.53
T.J. McConnell,PG,26,PHI,76,1470,0.02,1.03,0.42,0.01,-0.67,-0.57,-0.18,1.35,-0.21,-0.07,148.48
Doug McDermott,SF,27,IND,77,1340,0.26,1.07,0.26,0.02,0.36,-0.23,-0.51,-0.54,-0.52,0.1,165.25
JaVale McGee,C,31,LAL,75,1671,1.22,0.99,0.66,0.6,-0.86,0.37,1.79,0.36,4.31,0.78,285.6
