Player,Pos,Age,Tm,G2018,MP,zAge,zGPlayed,zMP,zFGA,z3PA,zFTA,zTRB,zAST,zSTL,zBLK,zPTS,puntPctFV
John Collins,PF,21,ATL,61,1829,-1.17,0.45,0.84,1.11,0.06,1.29,1.94,0.05,-0.42,0.55,1.37,354.72
Zach Collins,C,21,POR,77,1356,-1.17,1.07,0.28,-0.04,-0.17,0.15,0.58,-0.34,-0.32,1.48,-0.01,184.72
Darren Collison,PG,31,IND,76,2143,1.22,1.03,1.22,0.65,0.28,0.68,0.11,2.68,2.32,-0.48,0.69,303.8
Mike Conley,PG,31,MEM,70,2342,1.22,0.8,1.46,1.87,1.74,2.44,0.15,2.6,1.82,-0.03,1.96,453.32
Pat Connaughton,SG,26,MIL,61,1261,0.02,0.45,0.17,-0.17,0.32,-0.55,0.24,0.06,-0.08,0.07,-0.19,166.2
Quinn Cook,PG,25,GSW,74,1059,-0.21,0.95,-0.07,0.07,0.32,-0.66,-0.26,0.01,-0.48,-0.69,-0.01,170.85
Torrey Craig,SF,28,DEN,75,1503,0.5,0.99,0.45,-0.14,0.25,-0.3,0.27,-0.33,0.05,0.79,-0.18,166.6
Jamal Crawford,SG,38,PHO,64,1211,2.89,0.57,0.11,0.06,0.33,0.02,-0.63,0.89,-0.08,-0.38,-0.02,178.2
Jae Crowder,SF,28,UTA,80,2166,0.5,1.18,1.25,1.02,2.34,0.73,0.88,0.15,0.89,0.28,0.89,333.72
Dante Cunningham,PF,31,SAS,64,928,1.22,0.57,-0.23,-0.68,-0.52,-0.73,-0.11,-0.5,-0.26,-0.34,-0.66,87.05
Seth Curry,SG,28,POR,74,1399,0.5,0.95,0.33,0.14,0.64,-0.45,-0.45,-0.37,0.02,-0.38,0.13,181.9
Stephen Curry,PG,30,GSW,69,2331,0.98,0.76,1.44,2.46,4.14,1.47,0.8,1.92,1.76,0.07,2.78,572.1
Troy Daniels,SG,27,PHO,51,760,0.26,0.07,-0.43,-0.37,0.28,-0.69,-0.69,-0.68,-0.29,-0.62,-0.4,106.85
Anthony Davis,C,25,NOP,56,1850,-0.21,0.26,0.87,1.62,-0.02,2.66,2.33,0.81,1.63,3.86,1.91,451.5
Ed Davis,C,29,BRK,81,1446,0.74,1.22,0.39,-0.3,-0.92,0.45,2.44,-0.41,-0.01,0.35,-0.09,202.3
Dewayne Dedmon,C,29,ATL,64,1609,0.74,0.57,0.58,0.3,0.43,0.05,1.36,-0.19,1.04,1.66,0.36,256.82
DeMar DeRozan,SG,29,SAS,77,2688,0.74,1.07,1.87,2.39,-0.65,2.72,1.27,2.8,1.57,0.45,2.28,487.98
Cheick Diallo,PF,22,NOP,64,896,-0.93,0.57,-0.27,-0.38,-0.91,-0.33,0.62,-0.63,-0.2,0.35,-0.26,135.65
Hamidou Diallo,SG,20,OKC,51,526,-1.41,0.07,-0.71,-0.66,-0.78,-0.39,-0.57,-0.75,-0.45,-0.45,-0.67,65.38
Gorgui Dieng,C,29,MIN,76,1031,0.74,1.03,-0.11,-0.1,-0.58,-0.01,0.51,-0.33,0.39,0.62,-0.06,170.85
Spencer Dinwiddie,PG,25,BRK,68,1914,-0.21,0.72,0.94,1.1,1.39,2.03,-0.22,1.53,0.14,-0.21,1.28,340.42
Luka Dončić,SG,19,DAL,72,2318,-1.65,0.87,1.43,2.05,2.29,3.08,1.78,2.45,1.29,0.07,2.06,510.32
Damyean Dotson,SG,24,NYK,73,2004,-0.45,0.91,1.05,0.75,1.21,-0.07,0.26,0.16,0.7,-0.45,0.54,266.08
Andre Drummond,C,25,DET,79,2647,-0.21,1.14,1.82,1.69,-0.69,2.48,5.14,-0.02,3.13,3.97,1.74,497.45
Jared Dudley,PF,33,BRK,59,1220,1.7,0.37,0.12,-0.46,0.02,-0.5,-0.27,-0.24,0.02,-0.24,-0.47,115.78
Kevin Durant,SF,30,GSW,78,2702,0.98,1.1,1.88,2.57,1.5,3.25,1.45,2.66,0.7,2.1,3.08,583.7
Wayne Ellington,SG,31,TOT,53,1297,1.22,0.14,0.21,0.11,1.4,-0.47,-0.52,-0.33,0.58,-0.59,0.06,184.75
Joel Embiid,C,24,PHI,64,2154,-0.45,0.57,1.23,2.08,0.72,4.42,3.33,0.93,0.33,3.41,2.54,543.2
James Ennis,SF,28,TOT,58,1230,0.5,0.34,0.13,-0.32,0.05,-0.21,-0.14,-0.57,0.17,0,-0.26,134.95
Tyreke Evans,SG,29,IND,69,1402,0.74,0.76,0.33,0.65,0.42,0.43,-0.04,0.4,0.7,-0.17,0.39,239.22
Derrick Favors,C,27,UTA,76,1766,0.26,1.03,0.77,0.54,-0.44,0.99,1.76,-0.2,0.64,2.86,0.78,292.82
Cristiano Felício,C,26,CHI,60,746,0.02,0.41,-0.45,-0.62,-0.91,-0.28,0.04,-0.6,-0.76,-0.55,-0.56,88.55
Terrance Ferguson,SG,20,OKC,74,1931,-1.41,0.95,0.97,0.04,0.89,-0.46,-0.35,-0.33,0.14,-0.24,-0.01,175.43
Yogi Ferrell,PG,25,SAC,71,1067,-0.21,0.84,-0.07,-0.16,0,-0.33,-0.51,0.18,0.02,-0.66,-0.2,144.65
Dorian Finney-Smith,SF,25,DAL,81,1985,-0.21,1.22,1.03,0.3,0.66,-0.03,0.9,-0.15,1.04,0.45,0.19,233.65
Bryn Forbes,SG,25,SAS,82,2293,-0.21,1.26,1.4,1,1.66,-0.24,0.15,0.47,0.3,-0.66,0.92,308.6
Evan Fournier,SG,26,ORL,81,2553,0.02,1.22,1.71,1.74,1.89,0.51,0.24,1.41,1.11,-0.38,1.45,391.6
De'Aaron Fox,PG,21,SAC,81,2546,-1.17,1.22,1.7,1.83,0.52,2.53,0.47,3.7,3.03,0.76,1.8,457.92
Tim Frazier,PG,28,TOT,59,1120,0.5,0.37,-0,-0.41,-0.3,-0.43,-0.21,1.04,-0.17,-0.62,-0.42,136.67
Danilo Gallinari,SF,30,LAC,68,2059,0.98,0.72,1.12,1.25,1.4,2.44,1.04,0.5,0.42,0,1.69,394
Langston Galloway,SG,27,DET,80,1745,0.26,1.18,0.74,0.46,1.45,-0.09,-0.19,-0.23,0.05,-0.52,0.32,224.6
Marc Gasol,C,34,TOT,79,2436,1.93,1.14,1.57,1.21,0.78,1.19,2.1,1.83,1.51,2.17,1.13,402.4
Rudy Gay,PF,32,SAS,69,1842,1.46,0.76,0.86,0.88,0.22,0.33,1.31,0.53,0.58,0.38,0.88,312.65
Paul George,SF,28,OKC,77,2841,0.5,1.07,2.05,3.18,3.81,3.53,2.1,1.58,4.18,0.38,3.35,668.65
Taj Gibson,PF,33,MIN,70,1686,1.7,0.8,0.67,0.33,-0.72,0.57,1.25,-0.23,0.55,0.55,0.48,239.83
Harry Giles,PF,20,SAC,58,820,-1.41,0.34,-0.36,-0.18,-0.89,-0.13,0.06,-0.23,-0.14,-0.03,-0.22,137.72
Shai Gilgeous-Alexander,PG,20,LAC,82,2174,-1.41,1.26,1.25,0.8,-0.06,0.72,0.11,1.21,1.88,0.76,0.76,287.45
Rudy Gobert,C,26,UTA,81,2577,0.02,1.22,1.74,0.79,-0.93,3.38,4.18,0.36,0.95,5.66,1.57,432.7
Aaron Gordon,PF,23,ORL,78,2633,-0.69,1.1,1.8,1.68,1.24,1.19,1.83,1.36,0.67,1.14,1.49,427
Eric Gordon,SG,30,HOU,68,2158,0.98,0.72,1.24,1.39,2.83,0.37,-0.31,0.12,0.17,0.14,1.2,340.7
Jerami Grant,PF,24,OKC,80,2612,-0.45,1.18,1.78,1.09,0.9,0.93,1.04,-0.27,0.79,2.66,1.17,341.22
Jerian Grant,PG,26,ORL,60,939,0.02,0.41,-0.22,-0.51,-0.24,-0.55,-0.56,0.33,0.27,-0.59,-0.54,107.25
Danny Green,SG,31,TOR,80,2216,1.22,1.18,1.3,0.57,1.79,-0.51,0.54,0.09,1.17,1.04,0.62,290.35
Draymond Green,PF,28,GSW,66,2065,0.5,0.64,1.12,0.02,0.1,-0.13,1.36,2.64,1.85,1.62,-0.06,261.8
Gerald Green,SG,33,HOU,73,1473,1.7,0.91,0.42,0.43,1.83,-0.32,-0.14,-0.58,-0.08,0.14,0.32,226.15
JaMychal Green,PF,28,TOT,65,1371,0.5,0.6,0.3,0.16,0.17,-0.05,1,-0.5,0.3,0.38,0.19,216.3
Jeff Green,PF,32,WAS,77,2097,1.46,1.07,1.16,0.72,1.07,0.81,0.5,0.18,0.24,0.55,0.88,293.75
Blake Griffin,PF,29,DET,75,2622,0.74,0.99,1.79,2.46,2.34,3.61,1.79,2.24,0.52,0.17,2.7,564.2
Tim Hardaway Jr.,SG,26,TOT,65,2057,0.02,0.6,1.12,1.54,2.06,1.38,0.06,0.35,0.58,-0.52,1.34,357.3
James Harden,PG,29,HOU,78,2867,0.74,1.1,2.08,3.97,5.51,6.12,1.55,3.67,3.81,1.21,4.69,834.1
Maurice Harkless,SF,25,POR,60,1415,-0.21,0.41,0.35,-0.07,-0.18,-0.28,0.3,-0.31,0.98,1.04,-0.11,170.62
Montrezl Harrell,C,25,LAC,82,2158,-0.21,1.26,1.24,1.26,-0.82,2.5,1.64,0.37,1.11,3,1.72,386.4
Devin Harris,PG,35,DAL,68,1071,2.17,0.72,-0.06,-0.18,0.32,0.22,-0.49,0.06,-0.01,-0.24,-0.18,150.02
Gary Harris,SG,24,DEN,57,1639,-0.45,0.3,0.62,0.59,0.59,0.3,-0.25,0.1,0.61,-0.14,0.45,231.18
Joe Harris,SG,27,BRK,76,2293,0.26,1.03,1.4,0.89,1.49,0.21,0.41,0.52,0.08,-0.21,1.07,322
Tobias Harris,PF,26,TOT,82,2847,0.02,1.26,2.06,2.23,1.53,1.63,2.19,0.89,0.48,0.48,2.3,504.13
Shaquille Harrison,SG,25,CHI,73,1430,-0.21,0.91,0.37,0.03,-0.37,0.13,0.06,0.19,1.67,0.24,-0.09,177.85
Josh Hart,SG,23,LAL,67,1715,-0.69,0.68,0.71,0.13,0.79,-0.22,0.19,-0.16,0.89,0.59,0.02,199.88
Gordon Hayward,PF,28,BOS,72,1863,0.5,0.87,0.88,0.59,0.52,0.65,0.57,1.01,0.83,0,0.63,279.25
Juan Hernangómez,PF,23,DEN,70,1358,-0.69,0.8,0.28,-0.27,0.2,-0.17,0.28,-0.46,-0.26,0.03,-0.22,153.48
Willy Hernangómez,C,24,CHO,58,812,-0.45,0.34,-0.37,-0.32,-0.69,0.3,0.51,-0.42,-0.6,-0.1,-0.19,144.78
Mario Hezonja,SF,23,NYK,58,1206,-0.69,0.34,0.1,0.13,0.02,0.06,0.15,-0.2,0.67,-0.52,-0.01,179.32
Buddy Hield,SG,26,SAC,82,2615,0.02,1.26,1.78,2.51,3.15,0.7,1.02,0.71,0.7,0.35,2.4,514.65
George Hill,PG,32,TOT,60,1302,1.46,0.41,0.22,-0.1,0.03,-0.18,-0.31,0.16,0.52,-0.52,-0.12,158
Jrue Holiday,SG,28,NOP,67,2402,0.5,0.68,1.53,1.98,1.34,1.34,0.63,3.14,2.29,1.07,1.84,464.98
Justin Holiday,SG,29,TOT,82,2607,0.74,1.26,1.77,0.96,1.98,-0.01,0.57,0.25,2.66,0.45,0.69,315.38
Rondae Hollis-Jefferson,SF,24,BRK,59,1234,-0.45,0.37,0.13,0.19,-0.62,0.62,0.5,-0.14,0.27,0.14,0.02,186.77
Richaun Holmes,C,25,PHO,70,1184,-0.21,0.8,0.07,-0.13,-0.93,0.55,0.61,-0.42,0.2,1.93,0.11,181.62
Rodney Hood,SG,26,TOT,72,1893,0.02,0.87,0.92,0.68,0.55,0.39,-0.26,0.09,0.73,-0.38,0.59,243.55
Al Horford,C,32,BOS,68,1973,1.46,0.72,1.02,0.82,0.34,-0.1,1.25,1.31,0.73,2.17,0.83,325.42
Kevin Huerter,SG,20,ATL,75,2048,-1.41,0.99,1.1,0.64,1.28,-0.42,0.18,0.78,0.92,0.07,0.43,266.88
Serge Ibaka,C,29,TOR,74,2010,0.74,0.95,1.06,1.23,0.13,0.57,1.97,-0.12,-0.2,2.76,1.21,355.25
Andre Iguodala,SF,35,GSW,68,1578,2.17,0.72,0.54,-0.3,-0.03,-0.33,0.21,0.79,0.79,0.97,-0.26,171.3
Ersan İlyasova,PF,31,MIL,67,1231,1.22,0.68,0.13,-0.09,0.07,-0.27,0.46,-0.48,-0.11,-0.1,-0.13,167.6
Joe Ingles,PF,31,UTA,82,2568,1.22,1.26,1.72,1.03,2.1,0.13,0.61,2.76,1.95,-0.1,0.97,376.08
Brandon Ingram,SF,21,LAL,52,1760,-1.17,0.11,0.76,0.84,-0.34,1.48,0.29,0.31,-0.23,0.28,0.88,271.35
Kyrie Irving,PG,26,BOS,67,2214,0.02,0.68,1.3,2.19,1.79,1.12,0.63,2.72,2.1,0.38,2.2,495.2
Jonathan Isaac,PF,21,ORL,75,1996,-1.17,0.99,1.04,0.52,0.74,0.23,1.01,-0.27,0.73,2.59,0.42,265.15
Wesley Iwundu,SF,24,ORL,68,1233,-0.45,0.72,0.13,-0.37,-0.44,-0.03,-0.13,-0.32,-0.23,-0.03,-0.36,123.4
Frank Jackson,PG,20,NOP,61,1169,-1.41,0.45,0.06,0.09,0.13,-0.28,-0.38,-0.35,-0.32,-0.72,-0.04,156.8
Jaren Jackson Jr.,PF,19,MEM,58,1515,-1.65,0.34,0.47,0.46,-0.04,0.73,0.31,-0.39,0.52,2.04,0.57,240.15
Josh Jackson,SG,21,PHO,79,1988,-1.17,1.14,1.03,1.13,0.48,0.86,0.69,0.54,1.2,1.14,0.8,311.97
Justin Jackson,SF,23,TOT,81,1614,-0.69,1.22,0.59,0.19,0.6,-0.23,0.01,-0.14,-0.11,-0.31,0.14,196.8
Reggie Jackson,PG,28,DET,82,2289,0.5,1.26,1.39,1.68,2.02,1.05,0.03,1.79,0.61,-0.48,1.52,397.55
LeBron James,SF,34,LAL,55,1937,1.93,0.22,0.97,1.81,1.12,2.53,1.28,2.64,1.14,0.35,2.02,470.42
Jonas Jerebko,PF,31,GSW,73,1218,1.22,0.91,0.11,-0.16,0.25,-0.22,0.39,-0.14,-0.26,-0.17,-0.12,172
Amir Johnson,C,31,PHI,51,529,1.22,0.07,-0.71,-0.68,-0.68,-0.54,-0.31,-0.42,-0.6,-0.34,-0.64,78.68
James Johnson,PF,31,MIA,55,1164,1.22,0.22,0.05,-0.09,0,-0.3,-0.17,0.16,-0.01,0.14,-0.18,157.6
Stanley Johnson,SF,22,TOT,66,1208,-0.93,0.64,0.1,0.07,0.42,-0.35,0.04,-0.2,0.76,-0.31,-0.13,173.17
Tyler Johnson,PG,26,TOT,57,1529,0.02,0.3,0.49,0.3,0.7,0.16,-0.18,0.4,0.58,0.14,0.21,214.18
Nikola Jokić,C,23,DEN,80,2504,-0.69,1.18,1.65,2.1,0.76,2,3.3,3.62,2.26,1.1,2.22,560.78
Derrick Jones Jr.,SF,21,MIA,60,1153,-1.17,0.41,0.04,-0.24,-0.36,0.12,0.15,-0.6,0.33,0.66,-0.19,146.38
Tyus Jones,PG,22,MIN,68,1560,-0.93,0.72,0.52,0.08,-0.14,-0.31,-0.38,1.65,1.42,-0.62,-0.1,189.6
DeAndre Jordan,C,30,TOT,69,2047,0.98,0.76,1.1,0.08,-0.93,1.28,3.48,0.33,0.2,1.72,0.49,297.75
Cory Joseph,PG,27,IND,82,2063,0.26,1.26,1.12,0.36,0.14,-0.52,0.35,1.61,1.82,-0.03,0.04,234.07
Enes Kanter,C,26,TOT,67,1640,0.02,0.68,0.62,0.71,-0.72,0.73,2.26,0.01,-0.11,0.1,0.81,299.7
Luke Kennard,SG,22,DET,63,1437,-0.93,0.53,0.38,0.28,0.75,-0.38,-0.13,-0,-0.29,-0.45,0.2,203.2
Michael Kidd-Gilchrist,PF,25,CHO,64,1179,-0.21,0.57,0.07,-0.22,-0.64,0.13,0.18,-0.41,-0.11,0.55,-0.18,146.05
Maxi Kleber,PF,27,DAL,71,1502,0.26,0.84,0.45,-0.07,0.44,-0.27,0.6,-0.34,0.02,1.9,-0.06,191.05
Kevin Knox,PF,19,NYK,75,2158,-1.65,0.99,1.24,1.33,1.35,0.97,0.63,-0.25,0.24,0.03,0.91,317.38
Kyle Korver,SG-PF,37,TOT,70,1334,2.65,0.8,0.25,0.18,1.25,-0.28,-0.24,-0.26,-0.32,-0.38,0.17,200.02
Rodions Kurucs,SF,20,BRK,63,1294,-1.41,0.53,0.21,0.09,0.22,-0.12,0.18,-0.48,0.17,0.07,0.04,180.62
Kyle Kuzma,PF,23,LAL,70,2314,-0.69,0.8,1.42,1.79,1.71,1.16,0.87,0.5,0.17,0.1,1.61,399.17
Jeremy Lamb,SG,26,CHO,79,2250,0.02,1.14,1.35,1.5,1.14,1.25,1.13,0.45,1.63,0.31,1.41,382.95
Zach LaVine,SG,23,CHI,63,2171,-0.69,0.53,1.25,1.91,1.08,2.18,0.42,1.31,0.76,0.1,1.99,428.02
Jake Layman,SF,24,POR,71,1327,-0.45,0.84,0.24,0.03,0.2,-0.29,0.04,-0.47,-0.14,0.24,0.05,174.93
T.J. Leaf,PF,21,IND,58,522,-1.17,0.34,-0.71,-0.61,-0.74,-0.62,-0.43,-0.7,-0.82,-0.14,-0.59,76.22
Alex Len,C,25,ATL,77,1544,-0.21,1.07,0.5,0.62,0.35,0.89,1.08,-0.22,-0.26,1.59,0.69,277.92
Kawhi Leonard,SF,27,TOR,60,2040,0.26,0.41,1.1,1.9,0.96,2.6,1.15,0.66,2.19,0.03,2.2,452.65
Meyers Leonard,C,26,POR,61,878,0.02,0.45,-0.29,-0.46,-0.24,-0.46,0.12,-0.3,-0.7,-0.48,-0.32,127.73
Damian Lillard,PG,28,POR,80,2838,0.5,1.18,2.05,2.97,3.1,3.31,0.81,3.39,1.63,0.38,3.16,622.78
Jeremy Lin,PG,30,TOT,74,1436,0.98,0.95,0.37,0.34,0.24,0.84,-0.15,0.91,0.36,-0.34,0.39,228.25
Shaun Livingston,PG,33,GSW,64,967,1.7,0.57,-0.18,-0.54,-0.92,-0.46,-0.47,-0,-0.14,0.14,-0.53,95.55
Kevon Looney,C,22,GSW,80,1481,-0.93,1.18,0.43,-0.18,-0.87,-0.02,1.04,0.07,0.33,1.04,-0.03,186.32
Brook Lopez,C,30,MIL,81,2322,0.98,1.22,1.43,0.99,2.28,0.21,0.94,-0.13,0.48,5.38,1,353.6
Robin Lopez,C,30,CHI,74,1606,0.98,0.95,0.58,0.32,-0.74,0.13,0.38,-0.2,-0.76,1.9,0.38,210.55
Kyle Lowry,PG,32,TOR,65,2213,1.46,0.6,1.3,0.86,1.91,0.71,0.51,3.5,1.73,0.28,0.84,366.4
Trey Lyles,PF,23,DEN,64,1120,-0.69,0.57,-0,0.21,0.32,0.07,0.18,-0.21,-0.17,0,0.06,190.08
Shelvin Mack,PG,28,TOT,57,1246,0.5,0.3,0.15,-0.03,-0.12,-0.19,-0.53,0.54,0.36,-0.66,-0.18,154.92
Thon Maker,C-PF,21,TOT,64,972,-1.17,0.57,-0.18,-0.39,0.03,-0.19,-0.04,-0.54,-0.45,0.97,-0.39,127.72
Boban Marjanović,C,30,TOT,58,681,0.98,0.34,-0.53,-0.41,-0.87,0.19,0.28,-0.47,-0.6,0.14,-0.19,132.62
Lauri Markkanen,PF,21,CHI,52,1682,-1.17,0.11,0.67,1.01,1.15,0.72,1.31,-0.3,0.05,0.35,0.93,318.5
Wesley Matthews,SF-SG,32,TOT,69,2091,1.46,0.76,1.16,0.75,1.59,0.46,-0.2,0.36,0.58,-0.21,0.66,273.08
CJ McCollum,SG,27,POR,70,2375,0.26,0.8,1.49,2.2,1.86,0.69,0.36,0.72,0.61,0.17,1.94,432.48
