Player,Pos,Age,Tm,G2018,MP,FGA,3P,3PA,FTA,TRB,AST,STL,BLK,PTS,puntPctFV
Lauri Markkanen,PF,21,CHI,52,1682,795,120,332,195,470,75,37,33,974,318.5
Wesley Matthews,SF-SG,32,TOT,69,2091,698,150,403,163,170,160,54,17,840,273.08
CJ McCollum,SG,27,POR,70,2375,1243,167,445,192,282,207,55,28,1468,432.48
T.J. McConnell,PG,26,PHI,76,1470,419,14,42,37,174,258,79,17,483,178.75
Doug McDermott,SF,27,IND,77,1340,422,84,206,79,109,67,18,8,564,166.5
JaVale McGee,C,31,LAL,75,1671,641,1,12,152,566,52,47,148,897,288
Rodney McGruder,SG,27,MIA,66,1550,461,79,225,72,238,112,36,12,503,186.6
Alfonzo McKinnie,SF,26,GSW,72,1003,275,42,118,48,247,31,18,15,337,126.25
Khris Middleton,SF,27,MIL,77,2393,1148,179,474,258,461,331,80,7,1407,458.85
C.J. Miles,SF,31,TOT,53,856,311,67,203,58,95,36,26,15,339,118.92
Darius Miller,SF,28,NOP,69,1757,484,133,364,71,128,146,40,23,567,203.18
Patty Mills,PG,30,SAS,82,1908,663,159,404,103,182,245,49,10,811,277.22
Paul Millsap,PF,33,DEN,70,1895,665,58,159,249,505,141,83,54,883,301.42
Donovan Mitchell,SG,22,UTA,77,2598,1530,188,519,396,316,322,106,31,1829,543.62
Malik Monk,SG,20,CHO,73,1258,586,109,330,102,137,117,37,19,653,217.12
E'Twaun Moore,SG,29,NOP,53,1463,532,76,176,59,127,102,40,8,633,190.7
Marcus Morris,PF,29,BOS,75,2091,844,146,389,173,458,109,43,25,1046,342.18
Markieff Morris,PF,29,TOT,58,1270,484,68,203,92,265,79,36,22,547,192.33
Monte Morris,PG,23,DEN,82,1970,702,94,227,81,194,297,73,4,851,278.85
Emmanuel Mudiay,PG,22,NYK,59,1607,740,69,210,186,196,228,43,19,873,272.08
Jamal Murray,PG,21,DEN,75,2447,1173,152,414,223,317,363,67,27,1367,435.82
Mike Muscala,PF,27,TOT,64,1306,361,89,256,85,244,76,22,38,449,170.57
Abdel Nader,SF,25,OKC,61,694,215,32,100,36,116,20,20,12,241,87.1
Larry Nance Jr.,C,26,CLE,67,1795,479,33,98,134,552,214,100,40,627,256.92
Shabazz Napier,PG,27,BRK,56,983,435,76,228,138,100,143,41,16,529,175.68
Georges Niang,PF,25,UTA,59,516,181,43,105,24,87,35,10,6,235,80.38
Nerlens Noel,C,24,OKC,77,1055,276,0,0,79,325,45,66,96,378,149.1
Dirk Nowitzki,PF,40,DAL,51,795,376,64,205,50,158,35,9,18,373,135.05
Jusuf Nurkić,C,24,POR,72,1974,826,3,29,365,748,233,71,103,1125,383.95
David Nwaba,SG,26,CLE,51,984,262,24,75,85,163,54,36,17,334,114.4
Royce O'Neale,SF,25,UTA,82,1671,343,68,176,42,285,124,54,24,426,172.93
Semi Ojeleye,PF,24,BOS,56,594,158,28,89,39,86,23,10,4,186,67.55
Jahlil Okafor,C,23,NOP,59,935,362,1,5,89,278,40,15,40,484,150.35
Elie Okobo,PG,21,PHO,53,958,290,39,132,47,98,127,32,7,304,116.62
Josh Okogie,SG,20,MIN,74,1757,508,60,215,162,218,91,88,33,570,203.65
Kelly Olynyk,PF,27,MIA,79,1812,564,113,319,185,375,140,53,37,787,271.02
Cedi Osman,SF,23,CLE,76,2444,844,130,374,181,357,195,60,11,991,331.32
Kelly Oubre Jr.,SF,23,TOT,69,1935,842,108,338,244,325,84,84,59,1047,325.75
Zaza Pachulia,C,34,DET,68,878,193,0,4,124,265,91,31,17,267,111.57
Jabari Parker,PF,23,TOT,64,1724,749,61,195,184,421,152,46,30,930,299.05
Tony Parker,PG,36,CHO,56,1003,463,13,51,124,83,207,21,7,530,163.78
Patrick Patterson,PF,29,OKC,63,861,219,46,137,30,147,31,16,13,229,94.47
Chris Paul,PG,33,HOU,58,1857,720,127,355,203,265,473,114,18,906,337.05
Mason Plumlee,C,28,DEN,82,1731,442,2,10,198,524,243,66,76,637,249.3
Jakob Poeltl,C,23,SAS,77,1273,290,0,0,92,410,93,29,68,423,164.95
Quincy Pondexter,SF,30,SAS,53,292,58,6,18,42,46,24,11,1,98,34.97
Otto Porter,SF,25,TOT,56,1683,643,104,256,96,314,120,82,31,780,262.58
Dwight Powell,C,27,DAL,77,1662,486,39,127,254,411,112,44,50,815,250.95
Norman Powell,SG,25,TOR,60,1126,400,68,170,75,139,91,39,13,516,163.12
Julius Randle,PF,24,NOP,73,2232,1089,67,195,487,634,229,52,45,1565,460.3
J.J. Redick,SG,34,PHI,76,2379,1027,240,605,255,186,206,32,17,1372,401.65
Josh Richardson,SG,25,MIA,73,2539,1026,164,460,231,263,298,79,34,1209,392.72
Austin Rivers,SG,26,TOT,76,2028,572,104,327,95,162,167,47,23,618,221.75
Mitchell Robinson,C,20,NYK,66,1360,291,0,0,135,423,37,52,161,485,182.18
Derrick Rose,PG,30,MIN,51,1392,753,54,146,160,140,220,31,12,917,262.18
Terrence Ross,SG,27,ORL,81,2150,1027,217,566,144,280,135,72,29,1223,385.18
Terry Rozier,PG,24,BOS,79,1791,666,119,337,93,307,231,68,21,708,273.45
Ricky Rubio,PG,28,UTA,68,1899,730,79,254,228,243,416,91,10,864,309.38
D'Angelo Russell,PG,22,BRK,81,2448,1517,234,635,205,315,563,100,20,1712,562.65
Domantas Sabonis,C,22,IND,74,1838,700,9,17,291,690,212,48,30,1043,337.67
Dario Šarić,PF,24,TOT,81,2023,696,118,323,150,457,127,45,9,858,297.33
Tomáš Satoranský,PG,27,WAS,80,2164,530,64,162,160,279,399,82,13,709,264.35
Dennis Schröder,PG,25,OKC,79,2314,1104,124,364,227,284,323,65,12,1224,394.2
Mike Scott,PF,30,TOT,79,1395,420,101,252,33,276,66,26,13,459,178.98
Wayne Selden,SG,24,TOT,75,1439,483,55,174,92,180,109,33,13,514,177.93
Collin Sexton,PG,20,CLE,82,2605,1206,119,296,255,236,243,44,6,1371,400.3
Landry Shamet,SG,21,TOT,79,1802,557,167,396,93,134,117,37,10,722,232.12
Iman Shumpert,SG,28,TOT,62,1481,446,95,273,45,183,112,59,24,465,181.28
Pascal Siakam,PF,24,TOR,80,2548,945,79,214,302,549,248,73,52,1354,413.12
Ben Simmons,PG,22,PHI,79,2700,960,0,6,428,697,610,112,61,1337,465.05
Jonathon Simmons,SG-SF,29,TOT,56,1064,350,28,104,97,126,128,29,15,366,133.33
Marcus Smart,SG,24,BOS,80,2200,567,126,346,129,234,321,143,28,708,278.22
Dennis Smith Jr.,PG,21,TOT,53,1508,650,67,208,156,155,252,67,20,722,243.65
Ish Smith,PG,30,DET,56,1251,489,44,135,62,145,203,28,11,501,177.9
Tony Snell,SF,27,MIL,74,1304,361,81,204,42,157,68,26,18,444,152.15
Nik Stauskas,SG,25,TOT,68,1015,338,70,188,64,127,81,21,7,399,138.02
Lance Stephenson,SG,28,LAL,68,1123,432,73,197,73,215,140,41,7,491,180.85
Jayson Tatum,SF,20,BOS,79,2455,1036,116,311,228,477,168,84,57,1243,398.9
Garrett Temple,SG,32,TOT,75,2040,493,90,264,107,216,106,76,30,586,208.8
Daniel Theis,C,26,BOS,66,908,266,26,67,76,225,68,21,42,374,131.3
Klay Thompson,SG,28,GSW,78,2652,1402,241,599,158,299,186,84,47,1680,497.08
Sindarius Thornwell,SG,24,LAC,64,313,49,3,15,34,44,18,14,7,62,29.8
Anthony Tolliver,PF,33,MIN,65,1079,259,81,215,60,177,46,17,21,326,126.53
Karl-Anthony Towns,C,23,MIN,77,2545,1314,142,355,450,954,259,67,125,1880,594.55
