Player,Pos,Age,Tm,G,MP,FGA,3P,3PA,2PA,FTA,TRB,AST,STL,BLK,PTS,FV
Tristan Thompson,C,28,CLE,57,1721,562,9,23,539,161,577,120,33,50,684,451.3
Sindarius Thornwell,SG,25,NOP,2,35,11,2,4,7,4,4,4,1,1,16,9.299999999999999
Matisse Thybulle,SG,22,PHI,65,1287,265,56,157,108,41,107,79,94,47,305,294.75
Anthony Tolliver,PF,34,TOT,55,872,182,49,145,37,29,154,42,19,11,200,204.34999999999997
Anthony Tolliver,PF,34,POR,33,554,117,30,89,28,19,110,29,8,9,129,130.8
Anthony Tolliver,PF,34,SAC,9,82,17,2,15,2,2,11,3,4,1,9,18.349999999999998
Anthony Tolliver,PF,34,MEM,13,236,48,17,41,7,8,33,10,7,1,62,55.2
Juan Toscano-Anderson,SF,26,GSW,13,272,63,8,23,40,5,52,26,13,5,69,64.6
Karl-Anthony Towns,C,24,MIN,35,1187,622,114,277,345,226,378,153,33,42,926,404.15000000000003
Gary Trent Jr.,SG,21,POR,61,1332,441,112,268,173,45,100,61,48,16,541,334.45000000000005
Allonzo Trier,PG,24,NYK,24,291,106,19,53,53,43,29,28,3,4,155,81.15
P.J. Tucker,PF,34,HOU,72,2467,426,107,299,127,48,476,115,77,36,500,550.6
Rayjon Tucker,SG,22,UTA,20,161,43,3,17,26,23,20,5,1,1,62,40.5
Evan Turner,PG,31,ATL,19,251,67,0,5,62,14,38,38,9,8,62,60.3
Myles Turner,C,23,IND,62,1826,587,86,250,337,169,407,72,46,132,749,482.7
Jarrod Uthoff,SF,26,TOT,7,53,18,3,9,9,2,6,0,1,0,19,13.35
Jarrod Uthoff,SF,26,MEM,4,14,7,0,4,3,2,1,0,1,0,4,3.9500000000000006
Jarrod Uthoff,SF,26,WAS,3,39,11,3,5,6,0,5,0,0,0,15,9.4
Jonas Valančiūnas,C,27,MEM,70,1845,739,32,91,648,200,788,131,30,76,1044,548.8500000000001
Denzel Valentine,SF,26,CHI,36,488,237,46,137,100,8,74,43,26,6,246,141.8
Jarred Vanderbilt,SF-PF,20,TOT,11,46,8,0,1,7,2,9,2,3,1,12,11.799999999999999
Jarred Vanderbilt,SF,20,DEN,9,41,7,0,0,7,0,8,2,3,1,10,10.249999999999998
Jarred Vanderbilt,PF,20,MIN,2,5,1,0,1,0,2,1,0,0,0,2,1.5500000000000003
Fred VanVleet,PG,25,TOR,54,1928,773,146,374,399,198,203,357,100,17,952,542.0500000000001
Gabe Vincent,PG,23,MIA,9,83,37,6,27,10,0,5,6,5,0,22,21.400000000000002
Noah Vonleh,C-PF,24,TOT,36,377,92,3,15,77,32,124,28,11,6,132,99.29999999999998
Noah Vonleh,C,24,MIN,29,347,86,2,14,72,28,116,26,11,6,119,90.8
Noah Vonleh,PF,24,DEN,7,30,6,1,1,5,4,8,2,0,0,13,8.499999999999998
Nikola Vučević,C,29,ORL,62,1998,1033,98,289,744,167,673,222,54,47,1215,614.3499999999999
Dean Wade,PF,23,CLE,12,71,13,2,4,9,1,19,2,2,4,20,18.25
Moritz Wagner,C,22,WAS,45,835,266,25,80,186,95,219,56,28,19,393,228.05000000000004
Dion Waiters,SG,28,TOT,10,207,99,15,47,52,17,24,20,4,6,111,58.7
Dion Waiters,SG,28,MIA,3,42,26,8,17,9,1,11,3,0,2,28,14.150000000000002
Dion Waiters,SG,28,LAL,7,165,73,7,30,43,16,13,17,4,4,83,44.55
Kemba Walker,PG,29,BOS,56,1742,889,180,473,416,242,217,268,48,28,1145,538.5
Lonnie Walker,SG,21,SAS,61,988,357,41,101,256,61,139,68,32,14,389,251.60000000000002
Tyrone Wallace,SG,25,ATL,14,160,44,1,15,29,17,22,13,7,1,40,38.300000000000004
Derrick Walton,PG,24,TOT,26,248,39,10,24,15,9,16,27,7,0,53,56.000000000000014
Derrick Walton,PG,24,LAC,23,222,36,9,21,15,9,15,22,4,0,50,50.05
Derrick Walton,PG,24,DET,3,26,3,1,3,0,0,1,5,3,0,3,5.949999999999999
Brad Wanamaker,PG,30,BOS,71,1369,362,37,102,260,136,144,179,61,14,487,338.2
T.J. Warren,SF,26,IND,67,2202,997,91,226,771,204,280,99,78,34,1326,602.5000000000001
P.J. Washington,PF,21,CHO,58,1759,589,86,230,359,136,316,123,51,44,710,453.3
Yuta Watanabe,SG,25,MEM,18,105,34,3,8,26,8,20,5,5,1,36,27.95
Tremont Waters,PG,22,BOS,11,119,49,4,24,25,8,12,16,10,2,40,31.949999999999992
Paul Watson,SF-SG,25,TOT,10,87,26,4,12,14,9,17,8,4,1,31,23.400000000000002
Paul Watson,SG,25,ATL,2,17,7,0,3,4,0,2,3,1,0,0,3.9499999999999997
Paul Watson,SF,25,TOR,8,70,19,4,9,10,9,15,5,3,1,31,19.449999999999996
Quinndary Weatherspoon,SG,23,SAS,11,78,17,1,5,12,2,7,11,3,1,12,18.050000000000004
Russell Westbrook,PG,31,HOU,57,2049,1281,55,213,1068,380,451,401,93,20,1553,666.9000000000001
Coby White,SG,19,CHI,65,1674,792,133,376,416,129,230,175,49,6,859,470.9000000000001
Derrick White,SG,25,SAS,68,1677,552,79,216,336,211,223,241,44,59,765,451.8
Hassan Whiteside,C,30,POR,67,2008,702,4,7,695,239,905,78,26,196,1040,583.5500000000001
Andrew Wiggins,SF-SG,24,TOT,54,1858,978,111,334,644,268,274,198,45,53,1175,551.4000000000001
Andrew Wiggins,SF,24,MIN,42,1455,790,91,275,515,207,219,155,29,36,942,435.35
Andrew Wiggins,SG,24,GSW,12,403,188,20,59,129,61,55,43,16,17,233,116.04999999999998
Grant Williams,PF,21,BOS,69,1043,211,24,96,115,54,178,68,30,36,237,242.15
Johnathan Williams,C,24,WAS,15,180,34,0,2,32,13,64,8,1,8,45,44.3
Kenrich Williams,PF,25,NOP,39,832,147,25,97,50,26,186,57,27,21,136,189.34999999999997
Lou Williams,SG,33,LAC,65,1864,936,111,315,621,339,201,365,43,12,1185,560.5500000000001
Marvin Williams,PF,33,TOT,58,1129,267,56,156,111,57,183,60,36,30,343,272.85
Marvin Williams,PF,33,CHO,41,808,210,44,117,93,50,109,41,26,22,275,197.89999999999998
Marvin Williams,PF,33,MIL,17,321,57,12,39,18,7,74,19,10,8,68,74.94999999999999
Robert Williams,C,22,BOS,29,388,88,0,0,88,34,128,27,22,35,150,104.85000000000001
Nigel Williams-Goss,PG,25,UTA,10,50,16,2,7,9,2,6,6,3,1,14,13.45
Zion Williamson,PF,19,NOP,24,668,360,6,14,346,178,150,50,16,9,540,208.5
D.J. Wilson,PF,23,MIL,37,363,132,18,73,59,18,92,25,3,5,133,98.75
Justise Winslow,SF,23,MIA,11,352,129,6,27,102,27,73,44,7,5,124,89.5
Christian Wood,PF,24,DET,62,1325,508,54,140,368,242,390,60,34,54,810,392.75
Delon Wright,SG,27,DAL,73,1570,411,47,127,284,100,280,244,85,22,504,396.55
Justin Wright-Foreman,PG,22,UTA,4,45,20,2,10,10,4,5,7,2,0,19,12.549999999999997
Thaddeus Young,PF,31,CHI,64,1591,601,79,222,379,72,315,117,92,23,659,421.5
Trae Young,PG,21,ATL,60,2120,1249,205,568,681,559,255,560,65,8,1778,732.9000000000001
Cody Zeller,C,27,CHO,58,1341,479,18,75,404,179,411,88,40,25,642,368.90000000000003
Tyler Zeller,C,30,SAS,2,4,4,0,0,4,0,4,0,0,0,2,1.7
Ante Žižić,C,23,CLE,22,221,72,0,0,72,19,66,6,7,5,96,59.00000000000001
Ivica Zubac,C,22,LAC,72,1326,385,0,2,383,166,543,82,16,66,596,367.6500000000001
