Player,Pos,Age,Tm,G,MP,FGA,3P,3PA,2PA,FTA,TRB,AST,STL,BLK,PTS,FV
Miles Bridges,SF,21,CHO,65,1995,753,99,300,453,131,362,114,40,48,843,518.8
Oshae Brissett,SF,21,TOR,19,135,36,3,15,21,10,26,7,4,1,37,33.95
Ryan Broekhoff,SG,29,DAL,17,180,59,20,51,8,8,43,11,5,4,71,50.849999999999994
Malcolm Brogdon,PG,27,IND,54,1666,744,75,230,514,186,262,381,35,10,893,481.6
Dillon Brooks,SG,24,MEM,73,2112,1068,147,411,657,203,243,150,63,27,1181,592.95
Bruce Brown,SG,23,DET,58,1634,447,33,96,351,119,274,230,63,29,517,401.49999999999994
Charlie Brown,SG,22,ATL,10,40,19,3,9,10,5,4,2,2,2,20,12.449999999999998
Jaylen Brown,SF,23,BOS,57,1934,887,129,338,549,243,364,118,65,20,1159,557.55
Moses Brown,C,20,POR,9,33,10,0,0,10,8,14,1,1,1,11,9.999999999999998
Sterling Brown,SF,24,MIL,52,767,256,44,136,120,40,183,51,29,7,266,202.45000000000002
Troy Brown Jr.,SG,20,WAS,69,1782,622,61,179,443,139,383,178,85,7,716,467.6500000000001
Jalen Brunson,PG,23,DAL,57,1022,388,43,120,268,75,134,188,22,4,466,276.70000000000005
Thomas Bryant,C,22,WAS,46,1147,418,37,91,327,116,331,83,25,49,609,323.6
Reggie Bullock,SG,28,NYK,29,684,224,37,111,113,21,68,42,25,3,234,165.65
Trey Burke,PG,27,TOT,33,520,209,32,75,134,29,50,83,16,2,243,141.2
Trey Burke,PG,27,PHI,25,329,127,16,38,89,18,35,53,7,1,147,88.15
Trey Burke,PG,27,DAL,8,191,82,16,37,45,11,15,30,9,1,96,53.05
Alec Burks,SG,28,TOT,66,1754,768,116,301,467,265,282,189,62,17,993,505.59999999999997
Alec Burks,SG,28,GSW,48,1390,601,84,224,377,224,226,151,50,17,773,398.25
Alec Burks,SG,28,PHI,18,364,167,32,77,90,41,56,38,12,0,220,107.35
Deonte Burton,SG,26,OKC,39,356,125,10,53,72,14,57,17,7,10,104,89.35000000000002
Jimmy Butler,SF,30,MIA,58,1959,758,29,119,639,525,386,350,103,32,1157,578.3499999999999
Bruno Caboclo,C,24,TOT,30,244,89,6,33,56,9,60,12,15,17,90,67.65
Bruno Caboclo,C,24,MEM,22,192,69,4,25,44,3,44,10,10,12,62,51.15
Bruno Caboclo,C,24,HOU,8,52,20,2,8,12,6,16,2,5,5,28,16.5
Devontae Cacok,C,23,LAL,1,9,6,0,0,6,0,5,1,0,0,6,3
Kentavious Caldwell-Pope,SG,26,LAL,69,1762,507,92,239,268,102,142,111,57,14,645,423.15000000000003
Vlatko Čančar,SF,22,DEN,14,45,15,1,6,9,4,10,3,1,1,17,13.4
Clint Capela,C,25,HOU,39,1279,388,0,0,388,104,537,48,33,72,543,345.6
DeMarre Carroll,SF-PF,33,TOT,24,290,66,8,33,33,42,55,25,8,5,87,72.94999999999999
DeMarre Carroll,SF,33,SAS,15,135,29,3,13,16,20,31,11,2,2,33,33.8
DeMarre Carroll,PF,33,HOU,9,155,37,5,20,17,22,24,14,6,3,54,39.15
Jevon Carter,PG,24,PHO,58,945,243,62,146,97,27,118,84,47,17,287,232.74999999999997
Vince Carter,SF,43,ATL,60,876,304,61,202,102,29,124,48,23,25,298,225.05
Wendell Carter Jr.,C,20,CHI,43,1256,343,6,29,314,152,405,51,33,36,484,322.55000000000007
Michael Carter-Williams,SG,28,ORL,45,833,260,22,75,185,95,147,109,49,22,323,220.39999999999998
Alex Caruso,PG,25,LAL,64,1175,291,40,120,171,94,123,124,70,18,349,283.5
Willie Cauley-Stein,C,26,TOT,54,1097,302,0,1,301,66,315,70,49,61,390,279.59999999999997
Willie Cauley-Stein,C,26,GSW,41,940,257,0,0,257,57,255,60,45,50,323,236.15
Willie Cauley-Stein,C,26,DAL,13,157,45,0,1,44,9,60,10,4,11,67,43.45
Tyson Chandler,C,37,HOU,26,219,18,0,0,18,13,66,6,6,8,34,50.3
Wilson Chandler,SF,32,BRK,35,734,183,37,121,62,23,145,39,16,12,205,177.1
Joe Chealey,PG,24,CHO,4,33,7,0,4,3,2,0,1,4,0,2,6.8999999999999995
Zylan Cheatham,SF,24,NOP,4,51,9,0,1,8,0,9,3,1,1,12,11.350000000000001
