Player,Pos,Age,Tm,G2019,MP,zAge,zGPlayed,zMP,zFGA,z3PA,zFTA,zTRB,zAST,zSTL,zBLK,zPTS,puntPctFV
Patrick Patterson,PF,30,LAC,59,776,1.08,0.74,-0.26,-0.38,0.25,-0.45,-0.17,-0.5,-0.88,-0.67,-0.36,107.53
Chris Paul,PG,34,OKC,70,2208,2.05,1.22,1.71,1.64,1.16,1.7,1.03,3.31,2.99,-0.35,1.84,401.88
Mason Plumlee,C,29,DEN,61,1057,0.83,0.82,0.12,-0.21,-0.91,0.57,0.83,0.5,0.09,0.75,-0.02,159.88
Jakob Poeltl,C,24,SAS,66,1171,-0.38,1.05,0.28,-0.28,-0.95,-0.06,1.18,0.16,0.24,3.06,-0.18,158.08
Jordan Poole,SG,20,GSW,57,1274,-1.35,0.65,0.42,0.45,0.89,0.24,-0.37,0.32,0.16,-0.39,0.13,179.95
Michael Porter Jr.,PF,21,DEN,55,903,-1.11,0.56,-0.09,0.08,0.07,-0.19,0.48,-0.46,-0.13,0.22,0.15,167.95
Bobby Portis,C,24,NYK,66,1393,-0.38,1.05,0.59,0.72,0.35,0,0.96,0,0.05,-0.07,0.52,228.15
Kristaps Porziņģis,PF,24,DAL,57,1814,-0.38,0.65,1.17,1.77,1.85,1.74,2.18,0.04,0.39,3.87,1.68,387.7
Norman Powell,SG,26,TOR,52,1479,0.11,0.43,0.7,0.75,0.95,0.55,0.06,-0.06,1.09,0.06,0.9,243.8
Taurean Prince,SF,25,BRK,64,1857,-0.14,0.96,1.23,1.18,2.04,-0.03,1.22,0.16,0.98,0.22,0.76,289.72
Julius Randle,PF,25,NYK,64,2080,-0.14,0.96,1.53,2,0.65,2.37,2.68,0.89,0.76,0.1,1.88,401.38
Cam Reddish,SF,20,ATL,58,1551,-1.35,0.69,0.8,0.61,0.79,0.31,0.22,-0.09,1.17,0.34,0.38,211.15
J.J. Redick,SG,35,NOP,60,1581,2.29,0.78,0.85,0.85,1.81,0.84,-0.17,0.19,-0.4,-0.39,1.1,266.7
Josh Richardson,SG,26,PHI,55,1693,0.11,0.56,1,0.89,0.78,0.44,-0.03,0.57,0.8,0.66,0.72,242.7
Austin Rivers,SG,27,HOU,68,1594,0.35,1.13,0.86,0.45,0.93,0.17,-0.03,0.14,0.68,-0.39,0.35,201.35
Duncan Robinson,SG,25,MIA,73,2166,-0.14,1.36,1.65,1.02,3.26,-0.19,0.32,0.04,0.16,-0.03,1.26,311.4
Glenn Robinson III,SF,26,TOT,62,1786,0.11,0.87,1.13,0.73,0.42,-0.06,0.55,-0.01,0.87,-0.15,0.66,230.85
Jerome Robinson,SG,22,TOT,63,979,-0.86,0.91,0.02,-0.14,0.11,-0.32,-0.31,-0.09,-0.1,-0.11,-0.3,123.42
Mitchell Robinson,C,21,NYK,61,1412,-1.11,0.82,0.61,-0.04,-0.95,0.51,1.51,-0.55,0.8,4.03,0.33,195.5
Terrence Ross,SG,28,ORL,69,1889,0.59,1.18,1.27,1.51,2.55,0.83,0.26,-0.14,1.73,0.18,1.33,319.33
Terry Rozier,PG,25,CHO,63,2164,-0.14,0.91,1.65,1.8,1.99,0.89,0.58,1.43,1.13,-0.39,1.61,363.72
Ricky Rubio,PG,29,PHO,65,2016,0.83,1,1.45,1.04,0.55,1.22,0.75,4.18,2.36,-0.35,0.94,328.52
Domantas Sabonis,PF,23,IND,62,2159,-0.62,0.87,1.64,1.52,-0.48,1.85,3.58,1.88,0.61,0.42,1.64,390.45
Dario Šarić,PF,25,PHO,66,1632,-0.14,1.05,0.92,0.56,0.68,0.32,1.37,0.22,0.24,-0.15,0.6,244.95
Tomáš Satoranský,PG,28,CHI,65,1878,0.59,1,1.26,0.6,0.43,0.26,0.45,2.27,1.84,-0.51,0.46,248.33
Dennis Schröder,PG,26,OKC,65,1999,0.11,1,1.42,1.88,1.31,1.31,0.34,1.46,0.54,-0.23,1.83,362.4
Mike Scott,PF,31,PHI,68,1207,1.32,1.13,0.33,-0.02,0.56,-0.51,0.41,-0.37,-0.36,-0.59,-0.09,154.12
Collin Sexton,SG,21,CLE,65,2143,-1.11,1,1.62,2.25,0.82,1.59,0.15,0.84,1.28,-0.51,2.11,372.15
Landry Shamet,SG,22,LAC,53,1452,-0.86,0.47,0.67,0.11,1.11,-0.15,-0.48,0.01,-0.4,-0.39,0.1,163.78
Pascal Siakam,PF,25,TOR,60,2110,-0.14,0.78,1.58,2.3,1.58,1.92,1.57,0.97,1.13,1.35,2.17,423.47
Ben Simmons,PG,23,PHI,57,2017,-0.62,0.65,1.45,0.9,-0.9,1.87,1.6,3.16,3.29,0.54,1.15,325.52
Anfernee Simons,SG,20,POR,70,1449,-1.35,1.22,0.66,0.56,0.62,-0,-0.17,-0.01,-0.17,-0.39,0.31,189.82
Marcus Smart,SG,25,BOS,60,1919,-0.14,0.78,1.31,1,1.79,0.54,0.28,1.71,2.62,0.38,0.77,291.12
Ish Smith,PG,31,WAS,68,1787,1.32,1.13,1.13,1.03,0.22,-0.06,0.24,2.09,1.06,0.42,0.69,265.1
Tony Snell,SF,28,DET,59,1641,0.59,0.74,0.93,0.08,0.81,-0.55,-0.41,0.26,0.05,-0.19,0.06,163.75
Jayson Tatum,PF,21,BOS,66,2265,-1.11,1.05,1.79,2.68,2.31,2.01,1.7,0.91,2.32,1.52,2.58,477.08
Jeff Teague,PG,31,TOT,59,1464,1.32,0.74,0.68,0.41,-0.14,0.95,-0.23,1.86,0.5,-0.03,0.45,213.73
Garrett Temple,SG,33,BRK,62,1730,1.81,0.87,1.05,0.71,1.73,-0.05,0.23,0.52,0.68,0.38,0.45,237.32
Daniel Theis,C,27,BOS,65,1566,0.35,1,0.82,0.22,-0.28,0.2,1.49,0.12,0.24,2.61,0.36,216.5
Tristan Thompson,C,28,CLE,57,1721,0.59,0.65,1.04,0.64,-0.79,0.62,2.41,0.2,0.09,1.23,0.55,249.78
Matisse Thybulle,SG,22,PHI,65,1287,-0.86,1,0.44,-0.28,0.14,-0.47,-0.44,-0.16,2.36,1.11,-0.33,126.25
Anthony Tolliver,PF,34,TOT,55,872,2.05,0.56,-0.13,-0.53,0.06,-0.58,-0.15,-0.49,-0.43,-0.35,-0.58,89.67
Gary Trent Jr.,SG,21,POR,61,1332,-1.11,0.82,0.5,0.26,0.91,-0.43,-0.48,-0.32,0.65,-0.15,0.22,172.95
P.J. Tucker,PF,34,HOU,72,2467,2.05,1.31,2.07,0.22,1.13,-0.41,1.8,0.15,1.73,0.66,0.12,228.02
Myles Turner,C,23,IND,62,1826,-0.62,0.87,1.18,0.71,0.79,0.7,1.38,-0.23,0.57,4.56,0.71,266.58
Jonas Valančiūnas,C,27,MEM,70,1845,0.35,1.22,1.21,1.18,-0.32,0.98,3.69,0.3,-0.02,2.29,1.4,351.33
Fred VanVleet,PG,25,TOR,54,1928,-0.14,0.52,1.32,1.28,1.65,0.96,0.14,2.3,2.58,-0.11,1.18,326.88
Nikola Vučević,C,29,ORL,62,1998,0.83,0.87,1.42,2.08,1.06,0.68,2.99,1.1,0.87,1.11,1.8,415.2
Kemba Walker,PG,29,BOS,56,1742,0.83,0.6,1.07,1.64,2.33,1.36,0.23,1.51,0.65,0.34,1.64,358.55
Lonnie Walker,SG,21,SAS,61,988,-1.11,0.82,0.03,0,-0.25,-0.29,-0.25,-0.26,0.05,-0.23,-0.14,132.22
Brad Wanamaker,PG,30,BOS,71,1369,1.08,1.27,0.55,0.02,-0.24,0.4,-0.22,0.72,1.13,-0.23,0.09,165.28
T.J. Warren,SF,26,IND,67,2202,0.11,1.09,1.7,1.97,0.62,1.02,0.61,0.01,1.76,0.58,2.06,359.63
P.J. Washington,PF,21,CHO,58,1759,-1.11,0.69,1.09,0.72,0.65,0.4,0.83,0.22,0.76,0.99,0.62,244.4
Russell Westbrook,PG,31,HOU,57,2049,1.32,0.65,1.49,2.85,0.53,2.62,1.64,2.69,2.32,0.02,2.59,474.15
Coby White,SG,19,CHI,65,1674,-1.59,1,0.97,1.34,1.66,0.33,0.31,0.68,0.68,-0.55,0.96,287.6
Derrick White,SG,25,SAS,68,1677,-0.14,1.13,0.98,0.6,0.55,1.08,0.26,1.27,0.5,1.6,0.74,252.75
Hassan Whiteside,C,30,POR,67,2008,1.08,1.09,1.43,1.07,-0.9,1.34,4.39,-0.17,-0.17,7.16,1.39,362.68
Andrew Wiggins,SF-SG,24,TOT,54,1858,-0.38,0.52,1.23,1.92,1.37,1.6,0.57,0.89,0.54,1.35,1.71,357.25
Grant Williams,PF,21,BOS,69,1043,-1.11,1.18,0.1,-0.44,-0.28,-0.35,-0.01,-0.26,-0.02,0.66,-0.49,104.05
Lou Williams,SG,33,LAC,65,1864,1.81,1,1.24,1.79,1.24,2.25,0.13,2.37,0.46,-0.31,1.73,362.33
Marvin Williams,PF,33,TOT,58,1129,1.81,0.69,0.22,-0.27,0.13,-0.32,0.02,-0.33,0.2,0.42,-0.25,128.78
Christian Wood,PF,24,DET,62,1325,-0.38,0.87,0.49,0.47,0.02,1.36,1.28,-0.33,0.13,1.4,0.85,243.75
Delon Wright,SG,27,DAL,73,1570,0.35,1.36,0.83,0.17,-0.07,0.07,0.61,1.3,2.03,0.1,0.13,203.18
Thaddeus Young,PF,31,CHI,64,1591,1.32,0.96,0.86,0.76,0.59,-0.19,0.82,0.17,2.29,0.14,0.5,238.43
Trae Young,PG,21,ATL,60,2120,-1.11,0.78,1.59,2.75,2.99,4.25,0.46,4.09,1.28,-0.47,3.12,530.65
Cody Zeller,C,27,CHO,58,1341,0.35,0.69,0.51,0.38,-0.43,0.79,1.4,-0.09,0.35,0.22,0.46,213.48
Ivica Zubac,C,22,LAC,72,1326,-0.86,1.31,0.49,0.09,-0.93,0.67,2.2,-0.14,-0.54,1.88,0.35,211.02
