Player,Pos,Age,Tm,G2019,GS,MP,FG,FGA,FGpct,3P,3PA,3Ppct,2P,2PA,2Ppct,eFGpct,FT,FTA,FTpct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,zAge,zGPlayed,zMP,zFG,zFGA,zFGpct,z3P,z3PA,z3Ppct,z2P,z2PA,z2Ppct,zeFGpct,zFT,zFTA,zFTpct,zTRB,zAST,zSTL,zBLK,zPTS,puntPctFV,puntASTFV
Andre Drummond,C,26,TOT,57,56,1879,418,784,0.533,5,35,0.143,413,749,0.551,0.536,169,294,0.575,250,614,864,152,109,93,203,201,1010,0.11,0.65,1.26,1.67,1.32,0.8,-0.8,-0.7,-1.06,2.54,2.41,0.36,0.27,1.1,1.84,-0.63,4.15,0.48,2.92,2.98,1.32,370.78,386.78
Jared Dudley,SF,34,LAL,45,1,364,24,60,0.4,18,42,0.429,6,18,0.333,0.55,2,2,1,6,46,52,28,15,3,8,41,68,2.05,0.12,-0.83,-0.92,-0.91,-0.41,-0.56,-0.66,0.91,-0.92,-0.91,-1.4,0.4,-0.79,-0.83,1.38,-0.77,-0.62,-0.58,-0.67,-0.89,34.07,33.88
Kris Dunn,PG,25,CHI,51,32,1269,152,342,0.444,29,112,0.259,123,230,0.535,0.487,40,54,0.741,23,163,186,173,101,17,68,158,373,-0.14,0.38,0.42,-0.08,-0.04,-0.01,-0.36,-0.17,-0.26,0.07,0.05,0.23,-0.19,-0.36,-0.35,0.15,0.04,0.67,2.62,-0.11,-0.17,154.12,144.98
Carsen Edwards,SG,21,BOS,37,0,351,42,128,0.328,24,76,0.316,18,52,0.346,0.422,13,19,0.684,6,41,47,24,12,4,15,34,121,-1.11,-0.24,-0.85,-0.8,-0.7,-1.07,-0.45,-0.42,0.14,-0.82,-0.76,-1.3,-0.79,-0.66,-0.67,-0.11,-0.8,-0.65,-0.69,-0.63,-0.77,48.25,49.8
Henry Ellenson,PF,23,BRK,5,0,15,1,7,0.143,0,4,0,1,3,0.333,0.143,0,0,0,2,4,6,1,0,0,0,1,2,-0.62,-1.65,-1.31,-1.07,-1.07,-2.76,-0.89,-0.92,-2.04,-0.97,-0.98,-1.4,-3.38,-0.81,-0.84,-3.34,-1.05,-0.86,-1.14,-0.8,-1.04,2.4,2.52
Wayne Ellington,SG,32,NYK,36,1,558,61,174,0.351,50,143,0.35,11,31,0.355,0.494,11,13,0.846,4,61,65,44,13,4,18,41,183,1.56,-0.28,-0.57,-0.67,-0.56,-0.86,0.02,0.04,0.37,-0.88,-0.86,-1.23,-0.12,-0.68,-0.72,0.65,-0.69,-0.47,-0.66,-0.63,-0.62,71.2,72.9
Joel Embiid,C,25,PHI,51,51,1506,382,801,0.477,57,172,0.331,325,629,0.517,0.512,351,435,0.807,141,452,593,152,45,65,159,174,1172,-0.14,0.38,0.74,1.43,1.37,0.29,0.15,0.25,0.24,1.79,1.87,0.09,0.05,3.16,3.12,0.47,2.5,0.48,0.54,1.84,1.7,362.47,377.65
James Ennis,SF,29,TOT,69,18,1265,160,359,0.446,55,169,0.325,105,190,0.553,0.522,79,98,0.806,71,174,245,63,35,22,58,137,454,0.83,1.18,0.41,-0.02,0.01,0.01,0.11,0.22,0.2,-0.08,-0.13,0.38,0.14,0.08,0.05,0.46,0.4,-0.31,0.16,0.1,0.01,159.85,167.57
Drew Eubanks,PF,22,SAS,22,3,272,43,67,0.642,1,1,1,42,66,0.636,0.649,20,26,0.769,28,57,85,15,5,17,21,37,107,-0.86,-0.9,-0.96,-0.79,-0.89,1.8,-0.87,-0.94,4.85,-0.62,-0.7,1.05,1.32,-0.58,-0.61,0.29,-0.57,-0.73,-0.95,-0.11,-0.8,37.78,39.27
Jacob Evans,SG,22,TOT,29,1,418,45,134,0.336,13,39,0.333,32,95,0.337,0.384,25,29,0.862,9,32,41,31,11,12,25,41,128,-0.86,-0.59,-0.76,-0.78,-0.68,-1,-0.65,-0.68,0.25,-0.7,-0.56,-1.37,-1.14,-0.53,-0.58,0.73,-0.84,-0.59,-0.73,-0.31,-0.75,47.42,47.17
Dante Exum,SG,24,TOT,35,1,485,56,119,0.471,15,43,0.349,41,76,0.539,0.534,32,43,0.744,12,55,67,40,13,8,31,38,159,-0.38,-0.32,-0.67,-0.71,-0.73,0.24,-0.62,-0.65,0.36,-0.63,-0.65,0.26,0.25,-0.45,-0.45,0.17,-0.68,-0.51,-0.66,-0.47,-0.68,55.12,54.85
Tacko Fall,C,24,BOS,7,0,33,11,14,0.786,0,0,0,11,14,0.786,0.786,1,3,0.333,1,14,15,1,1,4,3,7,23,-0.38,-1.56,-1.29,-1,-1.05,3.11,-0.89,-0.95,-2.04,-0.88,-0.93,2.26,2.59,-0.8,-0.82,-1.77,-1,-0.86,-1.1,-0.63,-1,7.5,7.95
Derrick Favors,C,28,NOP,51,49,1243,209,339,0.617,1,7,0.143,208,332,0.627,0.618,40,71,0.563,163,338,501,81,30,46,55,107,459,0.59,0.38,0.38,0.3,-0.05,1.57,-0.87,-0.9,-1.06,0.79,0.51,0.98,1.03,-0.36,-0.2,-0.69,1.95,-0.15,-0.02,1.07,0.03,179.57,185.85
Cristiano Felício,PF,27,CHI,22,0,386,34,54,0.63,0,2,0,34,52,0.654,0.63,18,23,0.783,55,47,102,16,10,2,18,34,86,0.35,-0.9,-0.8,-0.85,-0.93,1.69,-0.89,-0.93,-2.04,-0.69,-0.76,1.19,1.14,-0.6,-0.63,0.35,-0.47,-0.72,-0.77,-0.72,-0.85,34.73,36.2
Terrance Ferguson,SF,21,OKC,56,38,1257,78,220,0.355,49,168,0.292,29,52,0.558,0.466,15,20,0.75,23,51,74,51,27,17,31,155,220,-1.11,0.6,0.4,-0.56,-0.42,-0.82,0,0.22,-0.03,-0.73,-0.76,0.42,-0.38,-0.64,-0.66,0.2,-0.64,-0.41,-0.13,-0.11,-0.53,88.62,91.12
Bruno Fernando,C,21,ATL,56,13,713,103,199,0.518,5,37,0.135,98,162,0.605,0.53,29,51,0.569,67,131,198,49,18,17,42,107,240,-1.11,0.6,-0.35,-0.4,-0.48,0.67,-0.8,-0.69,-1.11,-0.14,-0.26,0.8,0.21,-0.48,-0.38,-0.66,0.11,-0.43,-0.47,-0.11,-0.49,92.98,95
Yogi Ferrell,PG,26,SAC,50,0,530,79,188,0.42,24,79,0.304,55,109,0.505,0.484,36,42,0.857,6,43,49,69,18,4,28,38,218,0.11,0.34,-0.6,-0.56,-0.52,-0.23,-0.45,-0.4,0.05,-0.51,-0.5,-0.01,-0.21,-0.4,-0.46,0.7,-0.79,-0.25,-0.47,-0.63,-0.54,74.7,71.47
Dorian Finney-Smith,PF,26,DAL,71,68,2120,243,522,0.466,114,303,0.376,129,219,0.589,0.575,78,108,0.722,145,260,405,114,45,39,69,178,678,0.11,1.27,1.59,0.52,0.51,0.19,1.19,1.15,0.55,0.12,-0,0.67,0.63,0.07,0.14,0.06,1.37,0.14,0.54,0.79,0.54,246.9,258
Bryn Forbes,SG,26,SAS,63,62,1579,242,581,0.417,148,381,0.388,94,200,0.47,0.544,75,90,0.833,12,114,126,108,33,0,57,113,707,0.11,0.91,0.84,0.51,0.69,-0.26,1.8,1.7,0.63,-0.18,-0.09,-0.29,0.34,0.04,-0.02,0.59,-0.32,0.09,0.09,-0.8,0.61,220.68,226.62
Evan Fournier,SG,27,ORL,66,66,2076,434,929,0.467,173,434,0.399,261,495,0.527,0.56,180,220,0.818,18,153,171,209,71,15,125,161,1221,0.35,1.05,1.53,1.77,1.76,0.2,2.26,2.06,0.71,1.24,1.26,0.17,0.49,1.23,1.16,0.52,-0.05,0.99,1.5,-0.19,1.81,353.22,354.2
De'Aaron Fox,PG,22,SAC,51,49,1634,391,815,0.48,54,185,0.292,337,630,0.535,0.513,241,342,0.705,35,161,196,348,74,25,158,145,1077,-0.86,0.38,0.92,1.49,1.41,0.32,0.09,0.34,-0.03,1.89,1.87,0.23,0.05,1.91,2.27,-0.02,0.1,2.22,1.62,0.22,1.48,323.52,301.92
Melvin Frazier,SG,23,ORL,19,0,126,15,34,0.441,8,16,0.5,7,18,0.389,0.559,2,4,0.5,2,8,10,3,9,2,5,11,40,-0.62,-1.03,-1.16,-0.98,-0.99,-0.04,-0.74,-0.84,1.4,-0.92,-0.91,-0.95,0.48,-0.79,-0.81,-0.98,-1.03,-0.84,-0.81,-0.72,-0.96,14.53,15.38
Michael Frazier,SG,25,HOU,13,0,145,7,29,0.241,4,23,0.174,3,6,0.5,0.31,9,14,0.643,1,9,10,2,2,0,5,22,27,-0.14,-1.3,-1.14,-1.03,-1,-1.86,-0.82,-0.79,-0.84,-0.95,-0.97,-0.05,-1.83,-0.71,-0.72,-0.31,-1.03,-0.85,-1.07,-0.8,-0.99,10.9,11.97
Tim Frazier,PG,29,DET,27,11,355,34,94,0.362,10,30,0.333,24,64,0.375,0.415,19,24,0.792,9,24,33,93,14,4,36,42,97,0.83,-0.68,-0.85,-0.85,-0.8,-0.76,-0.71,-0.74,0.25,-0.77,-0.71,-1.06,-0.85,-0.59,-0.62,0.4,-0.89,-0.04,-0.62,-0.63,-0.82,44.65,35.9
Markelle Fultz,PG,21,ORL,72,60,1996,359,772,0.465,36,135,0.267,323,637,0.507,0.488,116,159,0.73,41,197,238,369,90,11,147,142,870,-1.11,1.31,1.42,1.28,1.28,0.18,-0.23,-0.01,-0.2,1.77,1.9,0,-0.18,0.5,0.61,0.1,0.35,2.4,2.21,-0.35,0.99,294.18,264.78
Wenyen Gabriel,PF,22,TOT,30,1,235,21,48,0.438,6,20,0.3,15,28,0.536,0.5,15,22,0.682,21,31,52,8,11,7,16,39,63,-0.86,-0.54,-1.01,-0.94,-0.95,-0.06,-0.78,-0.81,0.02,-0.85,-0.87,0.24,-0.07,-0.64,-0.64,-0.12,-0.77,-0.79,-0.73,-0.51,-0.9,26.83,28.78
Daniel Gafford,C,21,CHI,43,7,609,94,134,0.701,0,0,0,94,134,0.701,0.701,32,60,0.533,52,54,106,21,13,56,29,98,220,-1.11,0.03,-0.5,-0.46,-0.68,2.34,-0.89,-0.95,-2.04,-0.18,-0.39,1.58,1.8,-0.45,-0.3,-0.83,-0.45,-0.68,-0.66,1.48,-0.53,70.12,73.38
Danilo Gallinari,PF,31,OKC,62,62,1834,358,817,0.438,178,439,0.405,180,378,0.476,0.547,266,298,0.893,34,288,322,119,42,5,76,75,1160,1.32,0.87,1.19,1.28,1.42,-0.06,2.35,2.1,0.75,0.55,0.72,-0.25,0.37,2.2,1.87,0.87,0.86,0.19,0.42,-0.59,1.67,339.55,356.78
Langston Galloway,SG,28,DET,66,6,1702,236,542,0.435,132,331,0.399,104,211,0.493,0.557,73,85,0.859,33,116,149,101,48,11,40,96,677,0.59,1.05,1.01,0.48,0.57,-0.09,1.51,1.35,0.71,-0.09,-0.04,-0.11,0.46,0.02,-0.07,0.71,-0.18,0.03,0.65,-0.35,0.54,214.27,220.55
Darius Garland,PG,20,CLE,59,59,1824,280,699,0.401,105,296,0.355,175,403,0.434,0.476,63,72,0.875,27,84,111,229,42,4,151,92,728,-1.35,0.74,1.18,0.76,1.06,-0.4,1.02,1.11,0.4,0.51,0.84,-0.59,-0.29,-0.1,-0.19,0.79,-0.41,1.16,0.42,-0.63,0.66,240.68,227.8
Marc Gasol,C,35,TOR,44,43,1161,119,279,0.427,57,148,0.385,62,131,0.473,0.529,36,49,0.735,31,244,275,147,34,38,59,124,331,2.29,0.07,0.27,-0.29,-0.24,-0.16,0.15,0.08,0.61,-0.45,-0.4,-0.27,0.2,-0.4,-0.4,0.13,0.58,0.44,0.13,0.75,-0.27,148.65,145.3
Rudy Gay,PF,33,SAS,67,5,1461,266,596,0.446,74,220,0.336,192,376,0.511,0.508,120,136,0.882,61,301,362,114,35,33,88,103,726,1.81,1.09,0.68,0.67,0.74,0.01,0.46,0.58,0.27,0.66,0.71,0.04,0.01,0.55,0.4,0.82,1.11,0.14,0.16,0.54,0.65,245.18,252.43
Paul George,SF,29,LAC,48,48,1419,343,782,0.439,157,381,0.412,186,401,0.464,0.539,190,217,0.876,24,248,272,185,68,20,125,113,1033,0.83,0.25,0.62,1.18,1.31,-0.06,1.97,1.7,0.8,0.61,0.83,-0.34,0.3,1.34,1.13,0.79,0.56,0.77,1.39,0.02,1.37,319.22,323.98
Taj Gibson,C,34,NYK,62,56,1025,167,286,0.584,4,14,0.286,163,272,0.599,0.591,41,56,0.732,111,156,267,52,27,30,47,122,379,2.05,0.87,0.08,0.02,-0.21,1.27,-0.82,-0.85,-0.07,0.41,0.24,0.75,0.78,-0.34,-0.33,0.11,0.53,-0.4,-0.13,0.42,-0.16,130.12,133.57
Harry Giles,PF,21,SAC,46,17,667,139,251,0.554,0,2,0,139,249,0.558,0.554,38,49,0.776,43,145,188,60,22,18,44,119,316,-1.11,0.16,-0.42,-0.16,-0.32,0.99,-0.89,-0.93,-2.04,0.21,0.14,0.42,0.43,-0.38,-0.4,0.32,0.05,-0.33,-0.32,-0.07,-0.31,105.38,104.85
Shai Gilgeous-Alexander,SG,21,OKC,70,70,2428,478,1015,0.471,87,251,0.347,391,764,0.512,0.514,288,357,0.807,47,365,412,232,79,47,134,117,1331,-1.11,1.22,2.01,2.06,2.03,0.24,0.69,0.79,0.35,2.35,2.48,0.05,0.06,2.45,2.41,0.47,1.41,1.19,1.8,1.11,2.07,399.55,401.38
Rudy Gobert,C,27,UTA,68,68,2333,386,557,0.693,0,0,0,386,557,0.693,0.693,254,403,0.63,230,686,916,101,51,135,130,215,1026,0.35,1.13,1.88,1.46,0.62,2.26,-0.89,-0.95,-2.04,2.31,1.54,1.51,1.72,2.06,2.83,-0.37,4.46,0.03,0.76,4.68,1.36,349.5,374.5
Brandon Goodwin,PG,24,ATL,34,1,430,76,190,0.4,26,87,0.299,50,103,0.485,0.468,28,30,0.933,11,61,72,51,12,4,29,43,206,-0.38,-0.37,-0.74,-0.57,-0.51,-0.41,-0.42,-0.34,0.02,-0.55,-0.53,-0.17,-0.36,-0.49,-0.57,1.06,-0.65,-0.41,-0.69,-0.63,-0.57,72.38,71.78
Aaron Gordon,PF,24,ORL,62,62,2017,335,767,0.437,73,237,0.308,262,530,0.494,0.484,151,224,0.674,107,368,475,228,51,39,100,125,894,-0.38,0.87,1.45,1.12,1.27,-0.07,0.44,0.7,0.08,1.25,1.42,-0.1,-0.21,0.9,1.2,-0.16,1.79,1.15,0.76,0.79,1.05,316.98,315.95
Eric Gordon,SF,31,HOU,36,15,1016,171,463,0.369,96,303,0.317,75,160,0.469,0.473,82,107,0.766,9,62,71,54,23,13,43,70,520,1.32,-0.28,0.07,0.05,0.33,-0.69,0.86,1.15,0.14,-0.34,-0.27,-0.3,-0.32,0.12,0.13,0.27,-0.66,-0.39,-0.28,-0.27,0.17,161.55,170.12
Devonte' Graham,PG,24,CHO,63,53,2211,368,963,0.382,218,585,0.373,150,378,0.397,0.495,191,233,0.82,42,170,212,471,62,15,181,115,1145,-0.38,0.91,1.71,1.34,1.87,-0.58,3.08,3.11,0.53,0.3,0.72,-0.89,-0.11,1.35,1.28,0.53,0.2,3.31,1.17,-0.19,1.64,396.02,370.28
Treveon Graham,SG,26,TOT,55,20,929,87,242,0.36,33,120,0.275,54,122,0.443,0.428,36,56,0.643,51,99,150,45,24,6,29,102,243,0.11,0.56,-0.05,-0.5,-0.35,-0.78,-0.29,-0.12,-0.15,-0.52,-0.44,-0.51,-0.73,-0.4,-0.33,-0.31,-0.18,-0.47,-0.25,-0.55,-0.48,97.53,101.62
Jerami Grant,PF,25,DEN,71,24,1892,303,634,0.478,98,252,0.389,205,382,0.537,0.555,147,196,0.75,58,190,248,88,50,57,63,154,851,-0.14,1.27,1.27,0.91,0.86,0.3,0.89,0.8,0.64,0.77,0.74,0.25,0.44,0.85,0.94,0.2,0.41,-0.09,0.72,1.52,0.95,257.78,269.3
Jerian Grant,PG,27,WAS,6,0,80,10,27,0.37,2,8,0.25,8,19,0.421,0.407,5,7,0.714,2,4,6,9,1,1,3,11,27,0.35,-1.61,-1.22,-1.01,-1.01,-0.69,-0.85,-0.89,-0.32,-0.91,-0.91,-0.69,-0.93,-0.75,-0.78,0.03,-1.05,-0.78,-1.1,-0.76,-0.99,9.43,8.93
Josh Gray,PG,26,NOP,2,0,23,1,2,0.5,0,0,0,1,2,0.5,0.5,0,0,0,1,1,2,2,0,0,5,1,2,0.11,-1.78,-1.3,-1.07,-1.09,0.5,-0.89,-0.95,-2.04,-0.97,-0.99,-0.05,-0.07,-0.81,-0.84,-3.34,-1.08,-0.85,-1.14,-0.8,-1.04,1.1,0.9
Danny Green,SG,32,LAL,68,68,1687,197,474,0.416,120,327,0.367,77,147,0.524,0.542,33,48,0.688,51,174,225,91,85,32,63,136,547,1.56,1.13,0.99,0.22,0.36,-0.27,1.29,1.32,0.49,-0.32,-0.33,0.14,0.32,-0.43,-0.41,-0.1,0.28,-0.06,2.03,0.5,0.23,204.55,214.1
Draymond Green,PF,29,GSW,43,43,1222,123,316,0.389,36,129,0.279,87,187,0.465,0.446,63,83,0.759,23,243,266,266,59,33,98,110,345,0.83,0.03,0.35,-0.27,-0.12,-0.51,-0.23,-0.05,-0.12,-0.24,-0.15,-0.34,-0.57,-0.1,-0.09,0.24,0.52,1.49,1.06,0.54,-0.24,168.07,149.98
JaMychal Green,PF,29,LAC,63,1,1307,151,352,0.429,92,238,0.387,59,114,0.518,0.56,36,48,0.75,77,311,388,49,29,24,54,174,430,0.83,0.91,0.47,-0.08,-0.01,-0.15,0.79,0.7,0.62,-0.47,-0.48,0.09,0.49,-0.4,-0.41,0.2,1.26,-0.43,-0.06,0.18,-0.04,177.22,191.57
Javonte Green,SF,26,BOS,48,2,468,63,126,0.5,9,33,0.273,54,93,0.581,0.536,28,42,0.667,24,69,93,26,24,8,23,43,163,0.11,0.25,-0.69,-0.66,-0.71,0.5,-0.73,-0.72,-0.16,-0.52,-0.57,0.6,0.27,-0.49,-0.46,-0.2,-0.52,-0.63,-0.25,-0.47,-0.67,59.05,61.03
Jeff Green,PF-C,33,TOT,48,4,960,159,344,0.462,62,183,0.339,97,161,0.602,0.552,73,91,0.802,24,109,133,50,26,19,42,89,453,1.81,0.25,-0.01,-0.03,-0.04,0.15,0.24,0.32,0.29,-0.15,-0.26,0.77,0.42,0.02,-0.01,0.44,-0.28,-0.42,-0.17,-0.03,0.01,140.75,147.35
Blake Griffin,PF,30,DET,18,18,512,88,250,0.352,27,111,0.243,61,139,0.439,0.406,76,98,0.776,17,67,84,59,7,7,40,27,279,1.08,-1.07,-0.63,-0.5,-0.32,-0.85,-0.4,-0.18,-0.37,-0.46,-0.36,-0.55,-0.94,0.05,0.05,0.32,-0.58,-0.34,-0.88,-0.51,-0.4,91.55,92.53
Marko Guduric,SG,24,MEM,44,0,484,62,157,0.395,25,83,0.301,37,74,0.5,0.475,24,26,0.923,14,59,73,45,12,8,36,34,173,-0.38,0.07,-0.67,-0.67,-0.61,-0.46,-0.44,-0.37,0.03,-0.66,-0.66,-0.05,-0.3,-0.54,-0.61,1.01,-0.65,-0.47,-0.69,-0.47,-0.64,65.18,65.22
Kyle Guy,SG,22,SAC,3,0,10,2,5,0.4,0,3,0,2,2,1,0.4,0,0,0,0,1,1,1,0,0,0,1,4,-0.86,-1.74,-1.32,-1.06,-1.08,-0.41,-0.89,-0.93,-2.04,-0.96,-0.99,4,-0.99,-0.81,-0.84,-3.34,-1.08,-0.86,-1.14,-0.8,-1.04,1.62,1.6
Rui Hachimura,PF,21,WAS,48,48,1444,254,545,0.466,25,87,0.287,229,458,0.5,0.489,116,140,0.829,78,216,294,87,37,8,53,105,649,-1.11,0.25,0.66,0.59,0.58,0.19,-0.44,-0.34,-0.06,0.97,1.09,-0.05,-0.17,0.5,0.43,0.57,0.69,-0.09,0.24,-0.47,0.47,202.82,206.73
Devon Hall,SG,24,OKC,11,0,81,6,30,0.2,4,17,0.235,2,13,0.154,0.267,4,8,0.5,2,5,7,13,4,1,5,6,20,-0.38,-1.38,-1.22,-1.03,-1,-2.24,-0.82,-0.83,-0.42,-0.96,-0.94,-2.85,-2.23,-0.76,-0.77,-0.98,-1.04,-0.75,-0.99,-0.76,-1,10.9,10.3
Donta Hall,PF,22,TOT,9,0,133,15,22,0.682,0,0,0,15,22,0.682,0.682,9,18,0.5,14,24,38,4,3,6,5,23,39,-0.86,-1.47,-1.15,-0.98,-1.03,2.16,-0.89,-0.95,-2.04,-0.85,-0.9,1.42,1.62,-0.71,-0.68,-0.98,-0.86,-0.83,-1.03,-0.55,-0.96,14.57,15.7
Dusty Hannahs,SG,26,MEM,2,0,13,4,9,0.444,2,3,0.667,2,6,0.333,0.556,2,2,1,0,1,1,0,0,0,0,1,12,0.11,-1.78,-1.32,-1.05,-1.07,-0.01,-0.85,-0.93,2.56,-0.96,-0.97,-1.4,0.45,-0.79,-0.83,1.38,-1.08,-0.86,-1.14,-0.8,-1.02,3.08,3.28
Tim Hardaway Jr.,SG,27,DAL,71,58,2091,384,884,0.434,204,513,0.398,180,371,0.485,0.55,149,182,0.819,25,207,232,137,41,5,69,125,1121,0.35,1.27,1.55,1.45,1.63,-0.1,2.82,2.61,0.7,0.55,0.69,-0.17,0.4,0.88,0.82,0.52,0.32,0.35,0.39,-0.59,1.58,336.32,348.62
James Harden,SG,30,HOU,68,68,2483,672,1514,0.444,299,843,0.355,373,671,0.556,0.543,692,800,0.865,70,376,446,512,125,60,308,227,2335,1.08,1.13,2.09,3.34,3.56,-0.01,4.55,4.9,0.4,2.2,2.06,0.4,0.33,7.01,6.45,0.74,1.61,3.67,3.52,1.64,4.43,683.3,683.62
Maurice Harkless,SF,26,TOT,62,48,1427,142,283,0.502,34,98,0.347,108,185,0.584,0.562,39,66,0.591,55,185,240,68,58,33,53,148,357,0.11,0.87,0.63,-0.14,-0.22,0.52,-0.27,-0.27,0.35,-0.06,-0.15,0.63,0.51,-0.37,-0.24,-0.55,0.37,-0.26,1.02,0.54,-0.21,137.4,142.12
Jared Harper,PG,22,PHO,3,0,8,1,4,0.25,0,2,0,1,2,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,2,-0.86,-1.74,-1.32,-1.07,-1.08,-1.78,-0.89,-0.93,-2.04,-0.97,-0.99,-0.05,-2.39,-0.81,-0.84,-3.34,-1.09,-0.86,-1.14,-0.8,-1.04,0.98,1.02
Montrezl Harrell,C,26,LAC,63,2,1749,471,812,0.58,0,18,0,471,794,0.593,0.58,231,351,0.658,163,282,445,107,39,72,108,146,1173,0.11,0.91,1.08,2.02,1.4,1.23,-0.89,-0.82,-2.04,3.03,2.62,0.7,0.68,1.8,2.36,-0.24,1.61,0.08,0.31,2.13,1.7,325.1,334.85
Gary Harris,SG,25,DEN,56,55,1780,218,519,0.42,70,210,0.333,148,309,0.479,0.487,75,92,0.815,26,137,163,118,76,14,60,116,581,-0.14,0.6,1.12,0.36,0.5,-0.23,0.38,0.51,0.25,0.28,0.41,-0.22,-0.19,0.04,-0,0.5,-0.1,0.18,1.69,-0.23,0.31,194.9,195.78
Joe Harris,SF,28,BRK,69,69,2123,381,784,0.486,172,406,0.424,209,378,0.553,0.596,64,89,0.719,64,234,298,144,41,17,104,159,998,0.59,1.18,1.59,1.43,1.32,0.37,2.24,1.87,0.88,0.8,0.72,0.38,0.82,-0.08,-0.03,0.05,0.72,0.41,0.39,-0.11,1.29,310.55,318.12
Tobias Harris,PF,27,PHI,72,72,2469,553,1173,0.471,131,357,0.367,422,816,0.517,0.527,174,216,0.806,69,426,495,227,53,40,104,165,1411,0.35,1.31,2.07,2.56,2.52,0.24,1.5,1.53,0.49,2.61,2.72,0.09,0.18,1.16,1.13,0.46,1.91,1.15,0.83,0.83,2.26,437.3,441.22
Shaquille Harrison,SF,26,CHI,43,10,484,77,165,0.467,16,42,0.381,61,123,0.496,0.515,39,50,0.78,22,64,86,49,34,19,19,55,209,0.11,0.03,-0.67,-0.57,-0.59,0.2,-0.6,-0.66,0.58,-0.46,-0.44,-0.08,0.07,-0.37,-0.39,0.34,-0.57,-0.43,0.13,-0.03,-0.56,74.3,74.35
Josh Hart,SF,24,NOP,65,16,1755,225,532,0.423,121,354,0.342,104,178,0.584,0.537,85,115,0.739,61,364,425,108,63,23,75,160,656,-0.38,1,1.09,0.4,0.54,-0.2,1.31,1.51,0.31,-0.09,-0.19,0.63,0.28,0.15,0.2,0.14,1.49,0.09,1.21,0.14,0.49,250.12,264.15
Isaiah Hartenstein,C,21,HOU,23,2,266,44,67,0.657,0,5,0,44,62,0.71,0.657,19,28,0.679,29,61,90,18,9,12,16,41,107,-1.11,-0.85,-0.97,-0.79,-0.89,1.94,-0.89,-0.91,-2.04,-0.6,-0.71,1.65,1.39,-0.59,-0.59,-0.14,-0.54,-0.71,-0.81,-0.31,-0.8,38.88,40.23
Udonis Haslem,PF,39,MIA,4,1,44,4,11,0.364,1,3,0.333,3,8,0.375,0.409,3,4,0.75,1,15,16,1,0,0,1,6,12,3.26,-1.69,-1.27,-1.05,-1.06,-0.74,-0.87,-0.93,0.25,-0.95,-0.96,-1.06,-0.91,-0.77,-0.81,0.2,-0.99,-0.86,-1.14,-0.8,-1.02,5.38,5.85
Jaxson Hayes,C,19,NOP,64,14,1080,174,259,0.672,1,4,0.25,173,255,0.678,0.674,123,190,0.647,97,162,259,56,26,55,53,161,472,-1.59,0.96,0.15,0.07,-0.3,2.07,-0.87,-0.92,-0.32,0.5,0.16,1.39,1.55,0.58,0.89,-0.29,0.48,-0.37,-0.17,1.44,0.06,144.25,150.62
Gordon Hayward,SF,29,BOS,52,52,1740,350,700,0.5,85,222,0.383,265,478,0.554,0.561,124,145,0.855,55,293,348,212,38,22,96,96,909,0.83,0.43,1.06,1.22,1.06,0.5,0.66,0.59,0.6,1.28,1.18,0.39,0.5,0.59,0.48,0.69,1.02,1.01,0.27,0.1,1.08,288.25,283.25
John Henson,PF,29,TOT,40,8,600,95,171,0.556,8,36,0.222,87,135,0.644,0.579,23,46,0.5,46,116,162,54,24,42,36,78,221,0.83,-0.1,-0.51,-0.45,-0.57,1.01,-0.74,-0.7,-0.51,-0.24,-0.38,1.11,0.67,-0.55,-0.42,-0.98,-0.11,-0.39,-0.25,0.91,-0.53,86.73,87.92
Dewan Hernandez,C,23,TOR,6,0,28,5,14,0.357,1,2,0.5,4,12,0.333,0.393,3,5,0.6,5,9,14,3,1,0,3,6,14,-0.62,-1.61,-1.3,-1.04,-1.05,-0.8,-0.87,-0.93,1.4,-0.94,-0.94,-1.4,-1.06,-0.77,-0.8,-0.51,-1,-0.84,-1.1,-0.8,-1.02,6.18,6.38
Juan Hernangómez,PF,24,TOT,48,14,833,100,247,0.405,44,129,0.341,56,118,0.475,0.494,44,71,0.62,43,154,197,40,19,9,32,64,288,-0.38,0.25,-0.19,-0.42,-0.33,-0.37,-0.09,-0.05,0.31,-0.5,-0.46,-0.25,-0.12,-0.31,-0.2,-0.42,0.11,-0.51,-0.43,-0.43,-0.37,110.05,116.77
Willy Hernangómez,C,25,CHO,31,0,375,74,139,0.532,5,22,0.227,69,117,0.59,0.55,37,59,0.627,43,91,134,29,10,7,30,32,190,-0.14,-0.5,-0.82,-0.59,-0.67,0.79,-0.8,-0.79,-0.48,-0.39,-0.46,0.68,0.4,-0.39,-0.31,-0.38,-0.28,-0.61,-0.77,-0.51,-0.6,65.55,67.85
Tyler Herro,SG,20,MIA,55,8,1508,270,631,0.428,116,298,0.389,154,333,0.462,0.52,87,100,0.87,16,208,224,121,34,9,87,76,743,-1.35,0.56,0.74,0.7,0.85,-0.16,1.22,1.12,0.64,0.33,0.52,-0.36,0.12,0.18,0.07,0.76,0.27,0.21,0.13,-0.43,0.69,237.6,242
