Player,Pos,Age,Tm,G2019,GS,MP,FG,FGA,FGpct,3P,3PA,3Ppct,2P,2PA,2Ppct,eFGpct,FT,FTA,FTpct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,zAge,zGPlayed,zMP,zFG,zFGA,zFGpct,z3P,z3PA,z3Ppct,z2P,z2PA,z2Ppct,zeFGpct,zFT,zFTA,zFTpct,zTRB,zAST,zSTL,zBLK,zPTS,puntPctFV,puntASTFV
Harrison Barnes,PF,27,SAC,72,72,2482,365,793,0.46,102,268,0.381,263,525,0.501,0.525,214,267,0.801,77,278,355,159,43,12,88,93,1046,0.35,1.31,2.09,1.32,1.35,0.14,0.97,0.91,0.58,1.26,1.39,-0.04,0.17,1.61,1.59,0.44,1.06,0.54,0.46,-0.31,1.4,316.85,323.15
RJ Barrett,SG,19,NYK,56,55,1704,292,727,0.402,63,197,0.32,229,530,0.432,0.445,156,254,0.614,50,229,279,143,55,17,124,122,803,-1.59,0.6,1.02,0.84,1.14,-0.39,0.26,0.42,0.16,0.97,1.42,-0.6,-0.58,0.95,1.47,-0.45,0.6,0.4,0.91,-0.11,0.83,261.53,265.28
Will Barton,SF,29,DEN,58,58,1916,332,738,0.45,108,288,0.375,224,450,0.498,0.523,102,133,0.767,76,289,365,212,61,29,88,121,874,0.83,0.69,1.31,1.11,1.18,0.05,1.08,1.05,0.54,0.93,1.05,-0.07,0.15,0.34,0.37,0.28,1.12,1.01,1.13,0.38,1,299.3,297.4
Keita Bates-Diop,SF,24,TOT,44,0,744,100,234,0.427,34,103,0.33,66,131,0.504,0.5,54,75,0.72,25,102,127,30,19,24,17,43,288,-0.38,0.07,-0.31,-0.42,-0.37,-0.16,-0.27,-0.23,0.23,-0.41,-0.4,-0.02,-0.07,-0.2,-0.16,0.06,-0.32,-0.6,-0.43,0.18,-0.37,98.12,103.93
Nicolas Batum,SF,31,CHO,22,3,505,28,81,0.346,14,49,0.286,14,32,0.438,0.432,9,10,0.9,25,75,100,66,17,8,22,41,79,1.32,-0.9,-0.64,-0.89,-0.84,-0.9,-0.64,-0.61,-0.07,-0.86,-0.85,-0.55,-0.7,-0.71,-0.75,0.91,-0.48,-0.28,-0.51,-0.47,-0.86,47.6,44.3
Aron Baynes,C,33,PHO,42,28,934,183,381,0.48,59,168,0.351,124,213,0.582,0.558,56,75,0.747,71,166,237,67,10,23,50,141,481,1.81,-0.01,-0.05,0.13,0.08,0.32,0.18,0.22,0.38,0.08,-0.03,0.61,0.47,-0.18,-0.16,0.18,0.35,-0.27,-0.77,0.14,0.08,159.68,165.6
Kent Bazemore,SF-SG,30,TOT,68,21,1688,200,534,0.375,84,244,0.344,116,290,0.4,0.453,113,147,0.769,27,267,294,93,74,40,91,196,597,1.08,1.13,0.99,0.24,0.55,-0.64,0.64,0.75,0.33,0.01,0.32,-0.86,-0.5,0.47,0.5,0.29,0.69,-0.04,1.62,0.83,0.35,220.02,230.48
Darius Bazley,PF,19,OKC,61,9,1130,125,317,0.394,49,141,0.348,76,176,0.432,0.472,43,62,0.694,30,216,246,41,23,41,45,55,342,-1.59,0.82,0.22,-0.25,-0.12,-0.47,0,0.03,0.36,-0.33,-0.2,-0.6,-0.33,-0.32,-0.28,-0.07,0.4,-0.5,-0.28,0.87,-0.25,136.4,145.33
Bradley Beal,SG,26,WAS,57,57,2053,593,1303,0.455,170,481,0.353,423,822,0.515,0.52,385,457,0.842,52,190,242,347,71,23,194,126,1741,0.11,0.65,1.5,2.82,2.92,0.09,2.21,2.39,0.39,2.62,2.74,0.07,0.12,3.54,3.32,0.63,0.38,2.21,1.5,0.14,3.03,490.05,482.78
Malik Beasley,SG,23,TOT,55,14,1209,227,534,0.425,107,276,0.388,120,258,0.465,0.525,54,66,0.818,18,130,148,75,40,8,57,77,615,-0.62,0.56,0.33,0.42,0.55,-0.18,1.06,0.97,0.63,0.04,0.18,-0.34,0.17,-0.2,-0.24,0.52,-0.19,-0.2,0.35,-0.47,0.39,194.42,201.18
