Player,Pos,Age,Tm,G2019,MP,FGA,3P,3PA,FTA,TRB,STL,BLK,PTS,puntASTFV
Gary Harris,SG,25,DEN,56,1780,519,70,210,92,163,76,14,581,195.78
Joe Harris,SF,28,BRK,69,2123,784,172,406,89,298,41,17,998,318.12
Tobias Harris,PF,27,PHI,72,2469,1173,131,357,216,495,53,40,1411,441.22
Shaquille Harrison,SF,26,CHI,43,484,165,16,42,50,86,34,19,209,74.35
Josh Hart,SF,24,NOP,65,1755,532,121,354,115,425,63,23,656,264.15
Isaiah Hartenstein,C,21,HOU,23,266,67,0,5,28,90,9,12,107,40.23
Udonis Haslem,PF,39,MIA,4,44,11,1,3,4,16,0,0,12,5.85
Jaxson Hayes,C,19,NOP,64,1080,259,1,4,190,259,26,55,472,150.62
Gordon Hayward,SF,29,BOS,52,1740,700,85,222,145,348,38,22,909,283.25
John Henson,PF,29,TOT,40,600,171,8,36,46,162,24,42,221,87.92
Dewan Hernandez,C,23,TOR,6,28,14,1,2,5,14,1,0,14,6.38
Juan Hernangómez,PF,24,TOT,48,833,247,44,129,71,197,19,9,288,116.77
Willy Hernangómez,C,25,CHO,31,375,139,5,22,59,134,10,7,190,67.85
Tyler Herro,SG,20,MIA,55,1508,631,116,298,100,224,34,9,743,242
Kevin Hervey,PF,23,OKC,10,52,27,3,20,0,12,1,1,17,9.55
Mario Hezonja,PF,24,POR,53,871,218,24,78,59,184,36,9,256,103.92
Buddy Hield,SG,27,SAC,72,2216,1162,271,688,136,328,66,17,1382,448.28
George Hill,PG,33,MIL,59,1271,376,81,176,101,177,47,5,554,174
Solomon Hill,SF,28,TOT,59,1088,278,63,171,54,165,43,12,323,129
Jaylen Hoard,SF,20,POR,13,103,32,0,3,13,32,5,0,38,15.35
Aaron Holiday,PG,23,IND,66,1617,563,87,221,87,156,55,16,627,205.48
Jrue Holiday,SG,29,NOP,61,2117,1006,122,346,182,293,99,48,1167,367.35
Justin Holiday,SG,30,IND,73,1826,486,134,331,67,238,87,46,603,230.02
Rondae Hollis-Jefferson,SF,25,TOR,60,1122,329,3,23,143,283,46,23,418,151.7
Richaun Holmes,C,26,SAC,44,1242,344,0,0,118,358,41,56,539,179.22
Rodney Hood,SF,27,POR,21,619,172,35,71,27,72,17,4,230,72.52
Al Horford,C,33,PHI,67,2025,709,99,283,80,456,52,61,798,298.62
Talen Horton-Tucker,SG,19,LAL,6,81,30,4,13,4,7,8,1,34,11.77
Danuel House,SF,26,HOU,63,1913,539,129,355,90,267,67,34,662,243.83
Dwight Howard,C,34,LAL,69,1306,277,3,5,214,507,31,79,517,201.5
William Howard,PF,26,HOU,2,13,4,0,4,0,2,0,0,0,1.15
Kevin Huerter,SG,21,ATL,56,1760,610,127,334,64,228,51,27,684,240.72
De'Andre Hunter,SF,22,ATL,63,2018,683,108,304,144,286,44,18,778,265.97
Chandler Hutchison,SF,23,CHI,28,527,175,12,38,78,108,27,7,218,76.4
Serge Ibaka,C,30,TOR,55,1485,670,70,182,124,452,28,46,845,284.25
Andre Iguodala,SG,36,MIA,21,418,88,14,47,15,78,14,21,96,45.35
Ersan İlyasova,PF,32,MIL,63,986,313,50,137,87,302,24,17,414,160.1
Joe Ingles,SF,32,UTA,72,2137,553,141,353,94,278,65,11,707,250.98
Brandon Ingram,PF,22,NOP,62,2104,1096,150,384,368,380,61,38,1477,436.67
Kyrie Irving,PG,27,BRK,20,658,416,56,142,102,103,27,10,548,155.35
Jonathan Isaac,SF,22,ORL,34,980,332,32,94,77,231,53,78,404,155.45
Wesley Iwundu,SF,25,ORL,52,953,233,28,82,97,131,25,13,300,104.55
Frank Jackson,PG,21,NOP,59,797,331,47,144,75,83,17,4,371,119.92
Jaren Jackson Jr.,C,20,MEM,57,1622,753,145,368,186,262,40,92,990,317.45
Josh Jackson,SG,22,MEM,22,381,159,23,72,50,66,18,9,198,67.03
Justin Jackson,PF,24,DAL,65,1045,341,48,163,50,154,15,10,360,131.55
Reggie Jackson,PG,29,TOT,31,743,326,57,145,54,92,13,5,370,118.38
Justin James,SG,23,SAC,36,232,84,9,29,21,32,6,9,89,33.62
LeBron James,PG,35,LAL,67,2316,1303,148,425,381,525,78,36,1698,512.85
Amile Jefferson,PF,26,ORL,18,74,14,0,0,14,23,1,3,15,9.38
DaQuan Jeffries,SG,22,SAC,13,141,40,5,18,6,18,4,1,50,16.95
Ty Jerome,PG,22,PHO,31,328,113,14,50,16,46,15,3,102,42.27
Alize Johnson,SF,23,IND,17,118,29,3,8,10,48,3,2,34,17.85
B.J. Johnson,SF,24,ORL,10,83,32,3,9,10,15,3,0,30,11.95
Cameron Johnson,PF,23,PHO,57,1255,405,106,272,57,187,36,20,504,180.72
James Johnson,PF,32,TOT,32,619,215,33,91,48,118,25,32,270,97.25
Keldon Johnson,SF,20,SAS,17,301,89,13,22,44,57,14,2,154,45.85
Stanley Johnson,PF,23,TOR,25,150,59,7,24,16,37,6,4,60,25.8
Tyler Johnson,SG,27,TOT,39,709,250,38,119,50,76,16,9,274,93.5
Nikola Jokić,C,24,DEN,73,2336,1071,80,255,301,711,85,44,1456,464.75
Damian Jones,C,24,ATL,55,887,178,2,9,84,206,26,40,306,106.1
Derrick Jones Jr.,SF,22,MIA,59,1375,349,37,132,123,233,58,38,500,171.85
Tyus Jones,PG,23,MEM,65,1232,429,47,124,58,103,59,6,484,151.55
DeAndre Jordan,C,31,BRK,56,1234,287,0,0,122,561,18,52,465,191.78
Cory Joseph,PG,28,SAC,72,1759,412,56,159,70,188,53,21,458,165.57
Mfiondu Kabengele,C,22,LAC,12,64,32,9,20,5,11,2,2,42,14.47
Frank Kaminsky,C,26,PHO,39,777,307,41,124,90,176,14,10,378,129.8
Enes Kanter,C,27,BOS,58,983,348,1,7,99,431,22,41,469,177.48
Luke Kennard,SG,23,DET,28,922,342,73,183,75,98,12,6,442,135.55
Stanton Kidd,SF,27,UTA,4,15,3,0,1,0,3,0,0,0,1.12
Michael Kidd-Gilchrist,SF-PF,26,TOT,25,281,66,5,20,14,67,2,6,60,30.05
Louis King,SF,20,DET,10,62,21,4,11,3,10,2,0,20,8.62
Maxi Kleber,C,28,DAL,74,1890,514,119,319,93,388,25,83,672,258.8
Brandon Knight,PG,28,TOT,25,462,167,45,131,34,41,10,3,183,66.7
Kevin Knox,SF,20,NYK,65,1166,401,65,199,101,184,23,28,419,160.7
John Konchar,SG,23,MEM,19,181,37,5,10,2,47,7,3,54,21.9
Furkan Korkmaz,SG,22,PHI,72,1559,563,143,356,102,168,41,16,704,233.13
Luke Kornet,C,24,CHI,36,559,187,31,108,28,84,11,26,215,79.8
Kyle Korver,SF,38,MIL,58,960,293,99,237,41,122,26,12,386,138.1
Rodions Kurucs,PF,21,BRK,47,684,177,33,90,38,137,25,5,215,85.93
Kyle Kuzma,PF,24,LAL,61,1526,668,86,272,155,273,28,26,782,257.08
