Player,Pos,Age,Tm,G2019,MP,FGA,3P,3PA,FTA,TRB,AST,STL,BLK,PTS,puntPctFV
Zion Williamson,PF,19,NOP,24,668,360,6,14,178,150,50,16,9,540,139.17
D.J. Wilson,PF,23,MIL,37,363,132,18,73,18,92,25,3,5,133,54.12
Justise Winslow,SF,23,MIA,11,352,129,6,27,27,73,44,7,5,124,47.98
Christian Wood,PF,24,DET,62,1325,508,54,140,242,390,60,34,54,810,242.4
Delon Wright,SG,27,DAL,73,1570,411,47,127,100,280,244,85,22,504,202
Justin Wright-Foreman,PG,22,UTA,4,45,20,2,10,4,5,7,2,0,19,7.22
Thaddeus Young,PF,31,CHI,64,1591,601,79,222,72,315,117,92,23,659,236.45
Trae Young,PG,21,ATL,60,2120,1249,205,568,559,255,560,65,8,1778,525.52
Cody Zeller,C,27,CHO,58,1341,479,18,75,179,411,88,40,25,642,213.02
Tyler Zeller,C,30,SAS,2,4,4,0,0,0,4,0,0,0,2,1.3
Ante Žižić,C,23,CLE,22,221,72,0,0,19,66,6,7,5,96,31.83
Ivica Zubac,C,22,LAC,72,1326,385,0,2,166,543,82,16,66,596,211.02
