Player,Pos,Age,Tm,G2019,MP,FGA,3P,3PA,FTA,TRB,STL,BLK,PTS,puntASTFV
De'Andre Hunter,SF,22,ATL,63,2018,683,108,304,144,286,44,18,778,257.28
Serge Ibaka,C,30,TOR,55,1485,670,70,182,124,452,28,46,845,271.1
Ersan İlyasova,PF,32,MIL,63,986,313,50,137,87,302,24,17,414,151.52
Joe Ingles,SF,32,UTA,72,2137,553,141,353,94,278,65,11,707,242.12
Brandon Ingram,PF,22,NOP,62,2104,1096,150,384,368,380,61,38,1477,424.7
Wesley Iwundu,SF,25,ORL,52,953,233,28,82,97,131,25,13,300,100.32
Frank Jackson,PG,21,NOP,59,797,331,47,144,75,83,17,4,371,117.32
Jaren Jackson Jr.,C,20,MEM,57,1622,753,145,368,186,262,40,92,990,307.6
Justin Jackson,PF,24,DAL,65,1045,341,48,163,50,154,15,10,360,127.08
LeBron James,PG,35,LAL,67,2316,1303,148,425,381,525,78,36,1698,496.88
Cameron Johnson,PF,23,PHO,57,1255,405,106,272,57,187,36,20,504,174.65
Nikola Jokić,C,24,DEN,73,2336,1071,80,255,301,711,85,44,1456,443.75
Damian Jones,C,24,ATL,55,887,178,2,9,84,206,26,40,306,99.3
Derrick Jones Jr.,SF,22,MIA,59,1375,349,37,132,123,233,58,38,500,163.62
Tyus Jones,PG,23,MEM,65,1232,429,47,124,58,103,59,6,484,147.35
DeAndre Jordan,C,31,BRK,56,1234,287,0,0,122,561,18,52,465,176
Cory Joseph,PG,28,SAC,72,1759,412,56,159,70,188,53,21,458,159.02
Enes Kanter,C,27,BOS,58,983,348,1,7,99,431,22,41,469,165.12
Maxi Kleber,C,28,DAL,74,1890,514,119,319,93,388,25,83,672,246.4
Kevin Knox,SF,20,NYK,65,1166,401,65,199,101,184,23,28,419,154.82
Furkan Korkmaz,SG,22,PHI,72,1559,563,143,356,102,168,41,16,704,227.5
Kyle Korver,SF,38,MIL,58,960,293,99,237,41,122,26,12,386,134.1
Kyle Kuzma,PF,24,LAL,61,1526,668,86,272,155,273,28,26,782,248.9
Zach LaVine,SG,24,CHI,60,2085,1199,184,484,334,289,88,28,1530,442.28
Alex Len,C,26,TOT,55,970,319,16,59,105,321,23,48,438,151.45
Kawhi Leonard,SF,28,LAC,57,1848,1133,123,325,402,402,103,33,1543,437.55
Meyers Leonard,C,27,MIA,51,1034,234,53,128,28,260,14,15,309,119.6
Damian Lillard,PG,29,POR,66,2474,1349,270,674,518,284,70,22,1978,544.3
Brook Lopez,C,31,MIL,68,1817,671,102,325,152,312,46,163,813,283.68
Robin Lopez,C,31,MIL,66,958,299,35,105,53,161,10,45,357,121.38
Kevin Love,PF,31,CLE,56,1780,727,146,390,219,547,33,19,987,333.6
Kyle Lowry,PG,33,TOR,58,2098,803,164,466,343,292,82,26,1126,348
Trey Lyles,PF,24,SAS,63,1271,343,65,168,45,361,28,28,404,164.62
Thon Maker,C,22,DET,60,776,193,22,64,110,167,25,39,281,100.85
Wesley Matthews,SG,33,MIL,67,1635,422,108,297,68,166,38,9,494,174.78
CJ McCollum,SG,28,POR,70,2556,1356,194,512,185,297,54,42,1556,456.38
T.J. McConnell,PG,27,IND,71,1326,411,5,17,42,189,56,11,464,140.43
Doug McDermott,PF,28,IND,69,1372,547,128,294,58,174,12,5,710,213.45
JaVale McGee,C,32,LAL,68,1130,306,3,6,82,390,36,94,446,161.38
Rodney McGruder,SG,28,LAC,56,871,181,24,89,34,151,26,8,187,80.17
Ben McLemore,SG,26,HOU,71,1619,545,181,452,67,157,45,16,715,236.32
Nicolò Melli,C,29,NOP,60,1042,323,69,206,73,180,34,23,395,143.52
De'Anthony Melton,PG,21,MEM,60,1167,401,40,140,121,220,77,20,455,162.65
Khris Middleton,SF,28,MIL,62,1853,947,147,354,227,382,53,7,1297,373
Patty Mills,PG,31,SAS,66,1485,598,154,403,112,108,53,6,767,236.57
Paul Millsap,PF,34,DEN,51,1240,438,54,124,141,293,44,30,591,190.48
Donovan Mitchell,SG,23,UTA,69,2364,1342,173,473,322,304,70,14,1655,467.95
Malik Monk,SG,21,CHO,55,1169,488,58,204,100,157,25,16,564,175.73
E'Twaun Moore,SG,30,NOP,56,1020,437,63,167,45,131,32,11,466,150.55
Ja Morant,PG,20,MEM,67,2074,937,60,179,308,259,58,18,1193,326.05
Marcus Morris,SF-PF,30,TOT,62,1936,810,142,348,220,311,47,30,1033,318.12
Markieff Morris,PF,30,TOT,58,1187,458,88,228,85,218,31,17,560,185.75
Monte Morris,PG,24,DEN,73,1636,566,65,172,89,137,55,17,660,196.18
Emmanuel Mudiay,PG,23,UTA,54,850,327,30,87,83,126,24,10,395,120.55
Dejounte Murray,PG,23,SAS,66,1687,637,41,111,114,383,111,17,720,241.68
Jamal Murray,PG,22,DEN,59,1904,894,112,324,185,236,67,17,1091,317.75
Sviatoslav Mykhailiuk,SF,22,DET,56,1265,405,115,285,70,104,41,4,504,165.57
Abdel Nader,SF,26,OKC,55,867,263,48,128,66,100,23,20,345,110.33
Larry Nance Jr.,C,27,CLE,56,1472,431,56,159,74,409,56,22,564,201.3
Shabazz Napier,PG,28,TOT,56,1344,456,76,240,153,158,69,11,578,186.95
Raul Neto,PG,27,PHI,54,668,222,34,88,47,61,24,6,275,85.2
Georges Niang,PF,26,UTA,66,923,322,90,225,24,127,18,5,392,134.22
Nerlens Noel,C,25,OKC,61,1127,269,1,3,106,300,59,91,449,149.5
Frank Ntilikina,PG,21,NYK,57,1187,333,44,137,59,121,54,16,357,124.8
Kendrick Nunn,SG,24,MIA,67,1962,914,137,391,100,180,56,15,1024,307.25
Royce O'Neale,PF,26,UTA,71,2049,365,92,244,55,389,59,32,450,190.62
Semi Ojeleye,PF,25,BOS,69,1011,196,48,127,32,145,21,5,236,92.78
Elie Okobo,PG,22,PHO,55,719,181,25,71,71,90,24,4,219,76.35
Josh Okogie,SG,21,MIN,62,1547,398,41,154,191,268,68,26,533,182.55
Kelly Olynyk,C,28,MIA,67,1300,398,95,234,100,305,45,23,549,194.5
Cedi Osman,SF,24,CLE,65,1910,609,123,321,94,231,54,16,718,237.3
Kelly Oubre Jr.,SF,24,PHO,56,1933,826,108,307,246,361,71,40,1046,325.38
Eric Paschall,PF,23,GSW,60,1654,640,37,129,212,275,32,13,837,238.02
Patrick Patterson,PF,30,LAC,59,776,233,67,172,43,151,7,3,292,107.78
Chris Paul,PG,34,OKC,70,2208,887,111,304,279,349,111,11,1232,357.45
Mason Plumlee,C,29,DEN,61,1057,288,0,5,155,317,33,38,437,144.62
Jakob Poeltl,C,24,SAS,66,1171,266,0,0,86,375,37,95,372,145.73
Jordan Poole,SG,20,GSW,57,1274,502,74,265,119,118,35,10,503,172.8
Michael Porter Jr.,PF,21,DEN,55,903,383,62,147,72,259,27,25,512,167.68
Bobby Portis,C,24,NYK,66,1393,589,67,187,93,338,32,18,668,222.9
Kristaps Porziņģis,PF,24,DAL,57,1814,932,142,403,283,540,41,115,1164,392.1
Norman Powell,SG,26,TOR,52,1479,598,109,273,153,190,60,21,830,243.08
Taurean Prince,SF,25,BRK,64,1857,739,146,431,89,381,57,25,773,288.22
Julius Randle,PF,25,NYK,64,2080,1006,64,231,352,622,51,22,1248,391.2
Cam Reddish,SF,20,ATL,58,1551,554,83,250,126,216,62,28,610,209.68
J.J. Redick,SG,35,NOP,60,1581,631,180,397,185,151,20,10,917,266.38
Josh Richardson,SG,26,PHI,55,1693,646,85,249,141,174,52,36,755,232.2
Austin Rivers,SG,27,HOU,68,1594,501,96,270,111,175,49,10,596,196.75
Duncan Robinson,SG,25,MIA,73,2166,687,270,606,72,232,35,19,983,315.6
Glenn Robinson III,SF,26,TOT,62,1786,592,77,197,86,270,54,16,727,225.93
Jerome Robinson,SG,22,TOT,63,979,310,49,153,57,129,28,17,319,117.8
Mitchell Robinson,C,21,NYK,61,1412,341,0,0,148,428,52,119,590,194.7
Terrence Ross,SG,28,ORL,69,1889,846,177,504,184,222,77,24,1016,326.28
Terry Rozier,PG,25,CHO,63,2164,941,172,423,190,276,61,10,1134,346.67
Ricky Rubio,PG,29,PHO,65,2016,692,78,216,226,304,94,11,847,268.32
Domantas Sabonis,PF,23,IND,62,2159,848,17,67,296,771,47,30,1147,360.78
Dario Šarić,PF,25,PHO,66,1632,538,84,235,128,406,37,16,704,238.65
Tomáš Satoranský,PG,28,CHI,65,1878,551,64,199,121,254,80,7,644,212.07
Dennis Schröder,PG,26,OKC,65,1999,965,125,325,236,236,45,14,1229,343.68
Mike Scott,PF,31,PHI,68,1207,350,80,217,37,248,21,5,408,153.48
Collin Sexton,SG,21,CLE,65,2143,1086,97,255,267,204,65,7,1349,361.2
Landry Shamet,SG,22,LAC,53,1452,391,111,296,76,100,20,10,492,160.7
Pascal Siakam,PF,25,TOR,60,2110,1104,131,365,303,439,61,53,1371,414.3
Ben Simmons,PG,23,PHI,57,2017,647,2,7,298,444,119,33,937,276.28
Anfernee Simons,SG,20,POR,70,1449,536,75,226,92,152,26,10,579,185.65
Marcus Smart,SG,25,BOS,60,1919,682,137,395,152,225,101,29,776,268.42
Ish Smith,PG,31,WAS,68,1787,689,62,169,86,219,59,30,740,229.73
Tony Snell,SF,28,DET,59,1641,382,102,254,32,111,32,15,474,155.02
Jayson Tatum,PF,21,BOS,66,2265,1226,189,469,313,460,93,57,1547,471.62
Jeff Teague,PG,31,TOT,59,1464,489,43,117,197,142,44,19,641,183.08
Garrett Temple,SG,33,BRK,62,1730,587,127,386,87,218,49,29,641,229.65
