Player,Pos,Age,Tm,G2019,MP,zAge,zGPlayed,zMP,zFGA,z3PA,zFTA,zTRB,zSTL,zBLK,zPTS,puntASTFV
J.J. Redick,SG,35,NOP,60,1581,2.29,0.78,0.85,0.85,1.81,0.84,-0.17,-0.4,-0.39,1.1,266.38
Josh Richardson,SG,26,PHI,55,1693,0.11,0.56,1,0.89,0.78,0.44,-0.03,0.8,0.66,0.72,232.2
Austin Rivers,SG,27,HOU,68,1594,0.35,1.13,0.86,0.45,0.93,0.17,-0.03,0.68,-0.39,0.35,196.75
Duncan Robinson,SG,25,MIA,73,2166,-0.14,1.36,1.65,1.02,3.26,-0.19,0.32,0.16,-0.03,1.26,315.6
Glenn Robinson III,SF,26,TOT,62,1786,0.11,0.87,1.13,0.73,0.42,-0.06,0.55,0.87,-0.15,0.66,225.93
Jerome Robinson,SG,22,TOT,63,979,-0.86,0.91,0.02,-0.14,0.11,-0.32,-0.31,-0.1,-0.11,-0.3,117.8
Mitchell Robinson,C,21,NYK,61,1412,-1.11,0.82,0.61,-0.04,-0.95,0.51,1.51,0.8,4.03,0.33,194.7
Terrence Ross,SG,28,ORL,69,1889,0.59,1.18,1.27,1.51,2.55,0.83,0.26,1.73,0.18,1.33,326.28
Terry Rozier,PG,25,CHO,63,2164,-0.14,0.91,1.65,1.8,1.99,0.89,0.58,1.13,-0.39,1.61,346.67
Ricky Rubio,PG,29,PHO,65,2016,0.83,1,1.45,1.04,0.55,1.22,0.75,2.36,-0.35,0.94,268.32
Domantas Sabonis,PF,23,IND,62,2159,-0.62,0.87,1.64,1.52,-0.48,1.85,3.58,0.61,0.42,1.64,360.78
Dario Šarić,PF,25,PHO,66,1632,-0.14,1.05,0.92,0.56,0.68,0.32,1.37,0.24,-0.15,0.6,238.65
Tomáš Satoranský,PG,28,CHI,65,1878,0.59,1,1.26,0.6,0.43,0.26,0.45,1.84,-0.51,0.46,212.07
Dennis Schröder,PG,26,OKC,65,1999,0.11,1,1.42,1.88,1.31,1.31,0.34,0.54,-0.23,1.83,343.68
Mike Scott,PF,31,PHI,68,1207,1.32,1.13,0.33,-0.02,0.56,-0.51,0.41,-0.36,-0.59,-0.09,153.48
Collin Sexton,SG,21,CLE,65,2143,-1.11,1,1.62,2.25,0.82,1.59,0.15,1.28,-0.51,2.11,361.2
Landry Shamet,SG,22,LAC,53,1452,-0.86,0.47,0.67,0.11,1.11,-0.15,-0.48,-0.4,-0.39,0.1,160.7
Pascal Siakam,PF,25,TOR,60,2110,-0.14,0.78,1.58,2.3,1.58,1.92,1.57,1.13,1.35,2.17,414.3
Ben Simmons,PG,23,PHI,57,2017,-0.62,0.65,1.45,0.9,-0.9,1.87,1.6,3.29,0.54,1.15,276.28
Anfernee Simons,SG,20,POR,70,1449,-1.35,1.22,0.66,0.56,0.62,-0,-0.17,-0.17,-0.39,0.31,185.65
Marcus Smart,SG,25,BOS,60,1919,-0.14,0.78,1.31,1,1.79,0.54,0.28,2.62,0.38,0.77,268.42
Ish Smith,PG,31,WAS,68,1787,1.32,1.13,1.13,1.03,0.22,-0.06,0.24,1.06,0.42,0.69,229.73
Tony Snell,SF,28,DET,59,1641,0.59,0.74,0.93,0.08,0.81,-0.55,-0.41,0.05,-0.19,0.06,155.02
Jayson Tatum,PF,21,BOS,66,2265,-1.11,1.05,1.79,2.68,2.31,2.01,1.7,2.32,1.52,2.58,471.62
Jeff Teague,PG,31,TOT,59,1464,1.32,0.74,0.68,0.41,-0.14,0.95,-0.23,0.5,-0.03,0.45,183.08
Garrett Temple,SG,33,BRK,62,1730,1.81,0.87,1.05,0.71,1.73,-0.05,0.23,0.68,0.38,0.45,229.65
Daniel Theis,C,27,BOS,65,1566,0.35,1,0.82,0.22,-0.28,0.2,1.49,0.24,2.61,0.36,207.88
Tristan Thompson,C,28,CLE,57,1721,0.59,0.65,1.04,0.64,-0.79,0.62,2.41,0.09,1.23,0.55,239.38
Matisse Thybulle,SG,22,PHI,65,1287,-0.86,1,0.44,-0.28,0.14,-0.47,-0.44,2.36,1.11,-0.33,121.33
Anthony Tolliver,PF,34,TOT,55,872,2.05,0.56,-0.13,-0.53,0.06,-0.58,-0.15,-0.43,-0.35,-0.58,88.78
Gary Trent Jr.,SG,21,POR,61,1332,-1.11,0.82,0.5,0.26,0.91,-0.43,-0.48,0.65,-0.15,0.22,173.15
P.J. Tucker,PF,34,HOU,72,2467,2.05,1.31,2.07,0.22,1.13,-0.41,1.8,1.73,0.66,0.12,222.33
Myles Turner,C,23,IND,62,1826,-0.62,0.87,1.18,0.71,0.79,0.7,1.38,0.57,4.56,0.71,268.05
Jonas Valančiūnas,C,27,MEM,70,1845,0.35,1.22,1.21,1.18,-0.32,0.98,3.69,-0.02,2.29,1.4,342.22
Fred VanVleet,PG,25,TOR,54,1928,-0.14,0.52,1.32,1.28,1.65,0.96,0.14,2.58,-0.11,1.18,296.55
Nikola Vučević,C,29,ORL,62,1998,0.83,0.87,1.42,2.08,1.06,0.68,2.99,0.87,1.11,1.8,398.85
Kemba Walker,PG,29,BOS,56,1742,0.83,0.6,1.07,1.64,2.33,1.36,0.23,0.65,0.34,1.64,342.93
Lonnie Walker,SG,21,SAS,61,988,-1.11,0.82,0.03,0,-0.25,-0.29,-0.25,0.05,-0.23,-0.14,127.78
Brad Wanamaker,PG,30,BOS,71,1369,1.08,1.27,0.55,0.02,-0.24,0.4,-0.22,1.13,-0.23,0.09,148.85
T.J. Warren,SF,26,IND,67,2202,0.11,1.09,1.7,1.97,0.62,1.02,0.61,1.76,0.58,2.06,358
P.J. Washington,PF,21,CHO,58,1759,-1.11,0.69,1.09,0.72,0.65,0.4,0.83,0.76,0.99,0.62,238.18
Russell Westbrook,PG,31,HOU,57,2049,1.32,0.65,1.49,2.85,0.53,2.62,1.64,2.32,0.02,2.59,438.85
Coby White,SG,19,CHI,65,1674,-1.59,1,0.97,1.34,1.66,0.33,0.31,0.68,-0.55,0.96,278.35
Derrick White,SG,25,SAS,68,1677,-0.14,1.13,0.98,0.6,0.55,1.08,0.26,0.5,1.6,0.74,233.3
Hassan Whiteside,C,30,POR,67,2008,1.08,1.09,1.43,1.07,-0.9,1.34,4.39,-0.17,7.16,1.39,359.08
Andrew Wiggins,SF-SG,24,TOT,54,1858,-0.38,0.52,1.23,1.92,1.37,1.6,0.57,0.54,1.35,1.71,347.55
Grant Williams,PF,21,BOS,69,1043,-1.11,1.18,0.1,-0.44,-0.28,-0.35,-0.01,-0.02,0.66,-0.49,99.3
Lou Williams,SG,33,LAC,65,1864,1.81,1,1.24,1.79,1.24,2.25,0.13,0.46,-0.31,1.73,333.05
Marvin Williams,PF,33,TOT,58,1129,1.81,0.69,0.22,-0.27,0.13,-0.32,0.02,0.2,0.42,-0.25,126.6
Christian Wood,PF,24,DET,62,1325,-0.38,0.87,0.49,0.47,0.02,1.36,1.28,0.13,1.4,0.85,245.8
Delon Wright,SG,27,DAL,73,1570,0.35,1.36,0.83,0.17,-0.07,0.07,0.61,2.03,0.1,0.13,178.35
Thaddeus Young,PF,31,CHI,64,1591,1.32,0.96,0.86,0.76,0.59,-0.19,0.82,2.29,0.14,0.5,231.15
Trae Young,PG,21,ATL,60,2120,-1.11,0.78,1.59,2.75,2.99,4.25,0.46,1.28,-0.47,3.12,488.82
Cody Zeller,C,27,CHO,58,1341,0.35,0.69,0.51,0.38,-0.43,0.79,1.4,0.35,0.22,0.46,208.82
Ivica Zubac,C,22,LAC,72,1326,-0.86,1.31,0.49,0.09,-0.93,0.67,2.2,-0.54,1.88,0.35,204.98
